name,price,speed,modules,price_per_gb,color,first_word_latency,cas_latency
G.Skill Trident Z5 RGB 32 GB,124.99,"5,6400","2,16",3.906,Black,10,32
Corsair Vengeance LPX 64 GB,139.99,"4,3200","2,32",2.187,Black / Yellow,10,16
Kingston FURY Beast 32 GB,127.99,"5,6000","2,16",4,Black,12,36
Kingston FURY Beast 16 GB,77.98,"5,6000","2,8",4.874,Black,13.333,40
TEAMGROUP T-Create Expert 32 GB,92.99,"5,6000","2,16",2.906,Black,10,30
G.Skill Ripjaws S5 32 GB,102.99,"5,6000","2,16",3.218,Black,12,36
TEAMGROUP T-Force Delta RGB 16 GB,47.99,"4,3600","2,8",2.999,Black,10,18
Corsair Dominator Platinum RGB 32 GB,172.99,"5,6200","2,16",5.406,White,11.613,36
G.Skill Trident Z 32 GB,754.94,"5,6000","2,16",23.592,White / Black,13.333,40
G.Skill Trident Z Royal 256 GB,,"4,3600","8,32",,Gold,10,18
G.Skill Ripjaws V 32 GB,79.98,"4,3600","2,16",2.499,Black,8.889,16
TEAMGROUP T-Force Delta RGB 16 GB,47.99,"4,3600","2,8",2.999,White,10,18
Silicon Power XPOWER Turbine 16 GB,35.97,"4,3200","2,8",2.248,Blue,10,16
ADATA XPG Lancer Blade 32 GB,111.99,"5,6000","2,16",3.5,Black,10,30
G.Skill Trident Z RGB 16 GB,56.99,"4,3600","2,8",3.562,Black,10,18
Kingston FURY Beast 32 GB,79.77,"4,3200","2,16",2.493,Black,10,16
Corsair Vengeance RGB 32 GB,109.99,"5,5200","2,16",3.437,White,15.385,40
TEAMGROUP Vulcan Z 16 GB,36.99,"4,3600","2,8",2.312,Black,10,18
Crucial CT2K8G48C40U5 16 GB,52.99,"5,4800","2,8",3.312,Black,16.667,40
G.Skill Trident Z5 Neo RGB 64 GB,209.99,"5,6000","2,32",3.281,Black / Silver,10,30
Corsair Vengeance 32 GB,114.99,"5,6000","2,16",3.593,Black,12,36
TEAMGROUP T-Force Vulcan 32 GB,94.99,"5,6000","2,16",2.968,Black,12.667,38
Kingston FURY Beast RGB 32 GB,139.75,"5,6000","2,16",4.367,Black,12,36
TEAMGROUP T-Force Delta RGB 32 GB,75.98,"4,3600","2,16",2.374,Black,10,18
G.Skill Flare X5 64 GB,199.99,"5,6000","2,32",3.125,Black,10,30
Corsair Vengeance 32 GB,92.99,"5,4800","2,16",2.906,Black,16.667,40
TEAMGROUP T-Force Vulcan Z 16 GB,37.99,"4,3200","2,8",2.374,Gray,10,16
Crucial Pro 32 GB,64.98,"4,3200","2,16",2.031,Black,13.75,22
Crucial CT25664AA667 2 GB,10,"2,667","1,2",5,Green,14.993,5
Corsair Vengeance RGB 192 GB,719.04,"5,5200","4,48",3.745,Black,14.615,38
Crucial Pro 32 GB,114.99,"5,5600","2,16",3.593,Black,16.429,46
Corsair Vengeance LPX 16 GB,44.99,"4,3200","2,8",2.812,Black,10,16
TEAMGROUP T-Force Vulcan 32 GB,102.99,"5,6000","2,16",3.218,Black,10,30
Silicon Power SP032GBLVU560FD2AD 32 GB,75.97,"5,5600","2,16",2.374,Black,16.429,46
Corsair Vengeance RGB Pro 32 GB,84.98,"4,3200","2,16",2.656,Black,10,16
Corsair Vengeance LPX 8 GB,24.99,"4,2400","1,8",3.124,Black / Yellow,13.333,16
Patriot Viper Venom 16 GB,67.98,"5,5200","2,8",4.249,Black / White,13.846,36
Corsair Vengeance 64 GB,229.99,"5,6000","2,32",3.594,Black / Gray,10,30
TEAMGROUP T-Force Vulcan Z 32 GB,62.99,"4,3200","2,16",1.968,Gray,10,16
Corsair Vengeance 32 GB,114.99,"5,6400","2,16",3.593,Black,10,32
Corsair Vengeance 128 GB,429.99,"5,5600","4,32",3.359,Black,14.286,40
Kingston FURY Beast RGB 16 GB,87.99,"5,6000","2,8",5.499,Black,13.333,40
Corsair Dominator Platinum RGB 32 GB,172.99,"5,6200","2,16",5.406,Black,11.613,36
TEAMGROUP T-Create Expert 32 GB,92.99,"5,6000","2,16",2.906,White,10,30
G.Skill Trident Z5 RGB 48 GB,,"5,8400","2,24",,Black,9.524,40
Corsair Dominator Titanium 64 GB,339.99,"5,6400","4,16",5.312,White,10,32
G.Skill Trident Z Neo 32 GB,89.99,"4,3600","2,16",2.812,Black / Silver,8.889,16
G.Skill Flare X5 32 GB,94.99,"5,6000","2,16",2.968,Black,10.667,32
TEAMGROUP T-Create Expert 32 GB,91.99,"5,6000","2,16",2.875,Black,12.667,38
TEAMGROUP Elite 16 GB,45.99,"5,4800","2,8",2.874,Black,16.667,40
TEAMGROUP T-Create Classic 32 GB,87.99,"5,6000","2,16",2.75,Black,16,48
TEAMGROUP T-Create Expert 32 GB,99.99,"5,6400","2,16",3.125,Black,10,32
G.Skill Trident Z5 RGB 96 GB,399.99,"5,6800","2,48",4.167,Black,10,34
Corsair Vengeance LPX 32 GB,,"4,3000","2,16",,White,10,15
G.Skill Trident Z5 Neo 32 GB,116.99,"5,6000","2,16",3.656,Black,10,30
Corsair Dominator Platinum RGB 64 GB,299.99,"5,6800","2,32",4.687,Black,11.765,40
Corsair Vengeance RGB 32 GB,129.99,"5,6000","2,16",4.062,White / Silver,10,30
G.Skill Ripjaws S5 32 GB,105.99,"5,5600","2,16",3.312,Black,10,28
Corsair Dominator Titanium 64 GB,319.99,"5,6600","2,32",5,Black,9.697,32
Corsair Dominator Titanium 96 GB,439.99,"5,6600","2,48",4.583,Black,9.697,32
TEAMGROUP T-Force Vulcan 32 GB,94.99,"5,5600","2,16",2.968,Black,11.429,32
TEAMGROUP T-Create Classic 32 GB,83.99,"5,5600","2,16",2.625,Black,16.429,46
Corsair Vengeance RGB 64 GB,229.9,"5,6000","2,32",3.592,White / Silver,10,30
TEAMGROUP T-Force Delta RGB 32 GB,94.99,"5,6000","2,16",2.968,Black,12.667,38
Kingston HyperX Fury 16 GB,,"4,3200","2,8",,Black / Silver,10,16
Corsair Vengeance RGB Pro 32 GB,96.99,"4,3200","2,16",3.031,White,10,16
Kingston FURY Beast 8 GB,26.11,"4,3200","1,8",3.264,Black,10,16
G.Skill Ripjaws S5 32 GB,114.99,"5,6000","2,16",3.593,White,10,30
Corsair Vengeance RGB Pro 16 GB,64.98,"4,3600","2,8",4.061,Black,10,18
Kingston ValueRAM 4 GB,37.47,"4,3200","1,4",9.367,Green,13.75,22
Corsair Vengeance LPX 32 GB,,"4,3866","4,8",,,9.312,18
G.Skill Ripjaws S5 64 GB,199.99,"5,6000","2,32",3.125,Black,10,30
G.Skill Ripjaws V 32 GB,71.98,"4,4000","2,16",2.249,Black,9,18
Kingston FURY Beast 16 GB,78.66,"5,5600","2,8",4.916,Black / Silver,12.857,36
Corsair Vengeance 16 GB,77.98,"3,1600","2,8",4.874,Black / Yellow,11.25,9
Corsair Vengeance RGB Pro 256 GB,1863.05,"4,3200","8,32",7.278,White,10,16
TEAMGROUP T-Force Vulcan 32 GB,92.99,"5,5600","2,16",2.906,Black,12.857,36
Corsair Vengeance RGB 32 GB,118.99,"5,6400","2,16",3.718,Black / Gray,10,32
Kingston FURY Beast RGB 16 GB,69.98,"5,6000","2,8",4.374,Black,12,36
Corsair Dominator Titanium 32 GB,174.99,"5,6000","2,16",5.468,White,10,30
G.Skill Trident Z5 RGB 48 GB,,"5,8400","2,24",,White,9.524,40
Silicon Power XPOWER Turbine 32 GB,57.97,"4,3200","2,16",1.812,Blue,10,16
Kingston FURY Beast 16 GB,70.98,"5,5200","2,8",4.436,Black,15.385,40
G.Skill Trident Z5 RGB 64 GB,217.99,"5,6400","2,32",3.406,White / Black,10,32
Corsair Vengeance RGB 64 GB,242.99,"5,6400","2,32",3.797,Black / Gray,10,32
G.Skill Trident Z5 RGB 64 GB,259.99,"5,6800","2,32",4.062,Black,10,34
Corsair Vengeance LPX 64 GB,144.99,"4,3600","2,32",2.265,Black,10,18
G.Skill Ripjaws S5 32 GB,109.99,"5,6400","2,16",3.437,Black,10,32
TEAMGROUP Elite 32 GB,53.99,"4,3200","2,16",1.687,Black,13.75,22
G.Skill Trident Z Neo 256 GB,589.99,"4,3200","8,32",2.305,Black / Silver,10,16
TEAMGROUP T-Force Delta RGB 64 GB,178.99,"5,6000","2,32",2.797,White / Silver,12.667,38
Corsair Vengeance 32 GB,117.99,"5,6000","2,16",3.687,Black,12,36
Corsair Vengeance LPX 16 GB,47.99,"4,3200","2,8",2.999,White,10,16
G.Skill Ripjaws S5 64 GB,189.99,"5,5600","2,32",2.969,Black,10,28
G.Skill Aegis 16 GB,42.99,"4,3200","2,8",2.687,Red / Black,10,16
TEAMGROUP Elite 16 GB,,"4,2666","2,8",,Black,14.254,19
Lexar Ares RGB 32 GB,114.99,"5,6400","2,16",3.593,Black / Silver,10,32
G.Skill Trident Z RGB 64 GB,143.99,"4,3600","2,32",2.25,Black,10,18
Corsair Dominator Titanium 96 GB,439.99,"5,6600","2,48",4.583,White,9.697,32
Silicon Power XPOWER Zenith Gaming 32 GB,98.97,"5,6000","2,16",3.093,White,10,30
Crucial CT8G48C40U5 8 GB,24.99,"5,4800","1,8",3.124,Black,16.667,40
Corsair Vengeance 96 GB,349.99,"5,6400","2,48",3.646,Black,10,32
Silicon Power SP016GLLTU160N22 16 GB,19.97,"3,1600","2,8",1.248,Green,13.75,11
G.Skill Trident Z5 RGB 48 GB,259.99,"5,8000","2,24",5.416,Black,10,40
Corsair Vengeance RGB 32 GB,159.99,"5,7200","2,16",5,Black,9.444,34
OLOy MD4U1636181CHKDA 32 GB,64.99,"4,3600","2,16",2.031,Black,10,18
Corsair Vengeance RGB Pro 64 GB,,"4,3200","4,16",,Black,10,16
G.Skill Trident Z RGB 32 GB,72.98,"4,3600","2,16",2.281,Black,10,18
TEAMGROUP Elite 16 GB,31.99,"4,3200","2,8",1.999,Black,13.75,22
Kingston FURY Beast 16 GB,80.44,"5,6000","2,8",5.027,Black / Silver,12,36
Corsair Vengeance RGB RT 256 GB,1379.89,"4,3600","8,32",5.39,Black,10,18
TEAMGROUP T-Force Delta RGB 32 GB,124.99,"5,7200","2,16",3.906,Black / White,9.444,34
Corsair Vengeance RGB Pro 32 GB,116.44,"4,3200","4,8",3.639,Black,10,16
G.Skill Trident Z5 RGB 32 GB,115.99,"5,6400","2,16",3.625,White / Black,10,32
TEAMGROUP T-Force Vulcan 32 GB,104.99,"5,6400","2,16",3.281,Black / Silver,10,32
G.Skill Trident Z5 RGB 32 GB,124.99,"5,6000","2,16",3.906,White / Black,10,30
Corsair Dominator Platinum RGB 64 GB,349.99,"5,6600","4,16",5.469,Black,9.697,32
Corsair Vengeance 192 GB,649.99,"5,5200","4,48",3.385,Black,14.615,38
TEAMGROUP T-Force Delta RGB 32 GB,89.99,"5,5600","2,16",2.812,Black,12.857,36
G.Skill Ripjaws V 32 GB,67.99,"4,3600","2,16",2.125,Black,10,18
Kingston FURY 128 GB,516.08,"5,5600","4,32",4.032,White,14.286,40
Kingston FURY Beast RGB 16 GB,54.99,"4,3200","2,8",3.437,Black,10,16
Crucial CT16G48C40U5 16 GB,44.99,"5,4800","1,16",2.812,Black,16.667,40
Timetec PINNACLE Konduit 16 GB,39.99,"4,3600","2,8",2.499,White,10,18
TEAMGROUP Elite 32 GB,75.98,"5,4800","2,16",2.374,Black,16.667,40
TEAMGROUP T-Create Expert 64 GB,174.99,"5,6000","2,32",2.734,Black,11.333,34
G.Skill Trident Z5 RGB 32 GB,164.99,"5,7600","2,16",5.156,Black,9.474,36
Corsair Vengeance 32 GB,159.99,"5,7200","2,16",5,Gray,9.444,34
TEAMGROUP Elite 16 GB,48.99,"5,5200","2,8",3.062,Black,16.154,42
ADATA XPG Lancer Blade RGB 32 GB,119.99,"5,6000","2,16",3.75,Black,10,30
Corsair Vengeance 64 GB,189.99,"5,5600","2,32",2.969,Black,14.286,40
OLOy MD4U083016BGDA 16 GB,35.99,"4,3000","2,8",2.249,Black,10.667,16
G.Skill Trident Z RGB 16 GB,55.99,"4,3200","2,8",3.499,Black,10,16
G.Skill Ripjaws V 16 GB,40.99,"4,3600","2,8",2.562,Black,10,18
G.Skill Trident Z RGB 128 GB,289.99,"4,3600","4,32",2.266,Black,10,18
G.Skill Ripjaws S5 64 GB,204.99,"5,6400","2,32",3.203,Black,10,32
Corsair Vengeance RGB 32 GB,109.99,"5,5200","2,16",3.437,Black,15.385,40
TEAMGROUP T-Force Delta RGB 32 GB,89.99,"5,5600","2,16",2.812,White,12.857,36
Corsair Vengeance 32 GB,119.99,"5,6200","2,16",3.75,Black / Silver,9.677,30
Corsair Vengeance 32 GB,102.99,"5,5200","2,16",3.218,White,15.385,40
Patriot Viper 4 Blackout 64 GB,111.98,"4,3200","2,32",1.75,Black,10,16
Crucial Pro 64 GB,119.99,"4,3200","2,32",1.875,Black / Green,13.75,22
Silicon Power XPOWER Zenith Gaming 32 GB,98.99,"5,6000","2,16",3.093,Black,10,30
Corsair Vengeance LPX 16 GB,44.99,"4,3000","2,8",2.812,Black / Yellow,10,15
Corsair Vengeance RGB 64 GB,259.99,"5,6000","4,16",4.062,Black,12,36
TEAMGROUP T-Force Delta RGB 16 GB,49.99,"4,3200","2,8",3.124,White,10,16
Corsair Vengeance LED 64 GB,,"4,3000","4,16",,Black / White,10,15
ADATA XPG SPECTRIX D50 16 GB,54.99,"4,3200","2,8",3.437,White,10,16
Corsair Vengeance RGB 32 GB,107.95,"5,5600","2,16",3.373,Black / Gray,14.286,40
Crucial CT8G4DFRA32A 8 GB,21.98,"4,3200","1,8",2.748,Green,13.75,22
Supermicro MEM-DR412L-SL02-LR26 128 GB,,"4,2666","1,128",,Green / Black,16.504,22
G.Skill Aegis 32 GB,66.98,"4,3200","2,16",2.093,Red / Black,10,16
G.Skill Trident Z5 Neo RGB 32 GB,124.99,"5,6000","2,16",3.906,Silver / Black,10,30
Corsair Vengeance RGB 32 GB,119.99,"5,6000","2,16",3.75,Black / Gray,10,30
TEAMGROUP T-Force Delta RGB 32 GB,124.99,"5,7200","2,16",3.906,White / Gray,9.444,34
G.Skill Trident Z5 RGB 48 GB,299.99,"5,8200","2,24",6.25,Black,9.756,40
TEAMGROUP T-Create Expert 32 GB,59.99,"4,3200","2,16",1.875,Gray,10,16
Kingston FURY Beast RGB 64 GB,228.99,"5,6000","2,32",3.578,Black,12,36
G.Skill Trident Z5 RGB 32 GB,189.99,"5,7800","2,16",5.937,Black,9.231,36
Corsair Vengeance 32 GB,119.99,"5,6000","2,16",3.75,Black / Silver,10,30
Patriot Viper Venom 32 GB,99.99,"5,6000","2,16",3.125,Black / White,12,36
Corsair Dominator Titanium 32 GB,174.99,"5,6000","2,16",5.468,Black,10,30
Corsair Vengeance 64 GB,244.99,"5,6600","2,32",3.828,Black / Gray,9.697,32
G.Skill Ripjaws X 16 GB,36.99,"3,1600","2,8",2.312,Black / Red,12.5,10
Samsung M378A1K43CB2-CRC 8 GB,18.01,"4,2400","1,8",2.251,Green,14.167,17
Corsair Vengeance RGB 64 GB,219.99,"5,6000","2,32",3.437,Black,13.333,40
Kingston Server Premier 64 GB,179.68,"4,3200","1,64",2.808,,13.75,22
Crucial Pro 64 GB,179.99,"5,5600","2,32",2.812,Black,16.429,46
Corsair Dominator Titanium 64 GB,279.99,"5,6000","2,32",4.375,White,10,30
Kingston HyperX Fury 8 GB,,"4,2666","1,8",,Black,12.003,16
TEAMGROUP T-Force Vulcan 32 GB,92.99,"5,5200","2,16",2.906,Black,15.385,40
Kingston FURY Beast 16 GB,49,"4,3600","2,8",3.062,Black,9.444,17
TEAMGROUP T-Create Expert 32 GB,99.99,"5,6400","2,16",3.125,White,10,32
G.Skill Trident Z Royal 32 GB,105.99,"4,3600","2,16",3.312,Silver,10.556,19
Kingston FURY Beast 32 GB,101.99,"5,5600","2,16",3.187,Black,12.857,36
G.Skill Ripjaws S5 96 GB,324.99,"5,6400","2,48",3.385,Black,10,32
G.Skill Ripjaws V 32 GB,82.99,"4,4400","2,16",2.593,Black,8.636,19
Corsair Dominator Titanium 32 GB,199.99,"5,7200","2,16",6.25,White,9.444,34
G.Skill Aegis 16 GB,37.99,"4,3000","2,8",2.374,Black / Red,10.667,16
Silicon Power XPOWER Zenith Gaming 32 GB,92.97,"5,6000","2,16",2.905,Black,10,30
Patriot Viper Venom 32 GB,124.99,"5,7000","2,16",3.906,Black / White,9.143,32
Corsair Vengeance RGB Pro 64 GB,194.99,"4,3600","4,16",3.047,Black,10,18
Corsair Vengeance 16 GB,64.98,"5,5200","1,16",4.061,Black,15.385,40
Corsair Vengeance LPX 16 GB,54.99,"4,3600","2,8",3.437,Black / Yellow,8.889,16
Crucial Ballistix 16 GB,,"4,3200","2,8",,Black,10,16
Corsair Vengeance 64 GB,279.99,"5,6600","4,16",4.375,Black / Gray,9.697,32
Corsair Vengeance RGB 32 GB,124.99,"5,6000","2,16",3.906,White / Silver,12,36
Corsair Vengeance LPX 32 GB,94.99,"4,3600","2,16",2.968,Black / Yellow,8.889,16
TEAMGROUP T-Force Delta RGB 32 GB,99.99,"5,6400","2,16",3.125,Black,12.5,40
Corsair Vengeance RGB Pro 64 GB,149.99,"4,3200","2,32",2.344,Black,10,16
Corsair Vengeance 96 GB,269.99,"5,5200","2,48",2.812,Black,14.615,38
TEAMGROUP T-Create Expert 16 GB,37.99,"4,3600","2,8",2.374,Gray,10,18
Corsair Dominator Platinum RGB 64 GB,299.99,"5,5600","4,16",4.687,Black,12.857,36
Patriot Viper Steel 16 GB,43.99,"4,3200","2,8",2.749,Silver / Black,10,16
G.Skill Trident Z5 RGB 32 GB,239.99,"5,8000","2,16",7.5,Black,9.5,38
G.Skill Trident Z5 RGB 32 GB,114.99,"5,5600","2,16",3.593,Black,10,28
G.Skill Ripjaws V 64 GB,133.99,"4,3600","2,32",2.094,Black,10,18
Corsair Vengeance RGB Pro 16 GB,64.98,"4,3600","2,8",4.061,White,10,18
TEAMGROUP T-Force Delta RGB 32 GB,124.44,"5,5200","2,16",3.889,White,15.385,40
Corsair Vengeance LPX 32 GB,95.99,"4,3600","4,8",3,Black / Yellow,10,18
TEAMGROUP T-Force Delta RGB 32 GB,99.99,"5,6400","2,16",3.125,White,12.5,40
G.Skill Trident Z Neo 16 GB,66.98,"4,3600","2,8",4.186,Black / Silver,8.889,16
Corsair Vengeance 32 GB,107.99,"5,5600","2,16",3.375,Black / Gray,14.286,40
Corsair Vengeance 96 GB,349.99,"5,6000","2,48",3.646,Black / Silver,10,30
Crucial CT2K16G48C40U5 32 GB,89.99,"5,4800","2,16",2.812,Black,16.667,40
ADATA XPG Lancer Blade RGB 32 GB,99.99,"5,6400","2,16",3.125,Black,10,32
Kingston FURY Beast RGB 16 GB,87.79,"5,5600","2,8",5.487,Black,14.286,40
Corsair Vengeance LPX 64 GB,95.99,"4,3600","4,16",1.5,Black,10,18
Corsair Vengeance 64 GB,171.03,"5,5200","2,32",2.672,White,15.385,40
Timetec PINNACLE Konduit 32 GB,61.99,"4,3600","2,16",1.937,White,10,18
G.Skill Ripjaws V 16 GB,37.99,"4,3200","1,16",2.374,Black,10,16
Kingston FURY Beast 128 GB,446.02,"5,5600","4,32",3.485,White,14.286,40
G.Skill Trident Z 32 GB,1332.08,"4,3200","2,16",41.627,Red / Silver,9.375,15
TEAMGROUP T-Force Vulcan 16 GB,64.99,"5,5200","2,8",4.062,Black,15.385,40
Lexar THOR OC 32 GB,94.99,"5,6000","2,16",2.968,Black / Gold,10.667,32
TEAMGROUP Elite 16 GB,28.77,"4,3200","1,16",1.798,Black,13.75,22
Corsair Dominator Platinum RGB 32 GB,214.99,"5,7600","2,16",6.718,Black,9.474,36
TEAMGROUP T-Force Delta RGB 32 GB,94.99,"5,5600","2,16",2.968,Black,11.429,32
TEAMGROUP Elite 32 GB,76.98,"5,5600","2,16",2.406,Black,16.429,46
Corsair Dominator Titanium 96 GB,459.99,"5,6000","4,24",4.792,Black,10,30
Patriot Viper Venom 32 GB,115.99,"5,6400","2,16",3.625,Black / White,10,32
Corsair Vengeance RGB Pro 32 GB,124.99,"4,3200","4,8",3.906,White,10,16
G.Skill Trident Z Royal 128 GB,1108.65,"4,3600","8,16",8.661,Silver,7.778,14
TEAMGROUP T-Create Expert 32 GB,129.99,"5,7200","2,16",4.062,Black,9.444,34
Gigabyte AORUS RGB 32 GB,107.99,"5,6000","2,16",3.375,Black,13.333,40
Corsair Vengeance LPX 32 GB,71.99,"4,2133","2,16",2.25,Black / Yellow,12.189,13
Samsung M378A2K43CB1-CTD 16 GB,30.28,"4,2666","1,16",1.893,Green / Black,14.254,19
TEAMGROUP T-Force Vulcan 64 GB,159.99,"5,5200","2,32",2.5,Black,15.385,40
Corsair Vengeance RGB Pro 64 GB,162.99,"4,3600","2,32",2.547,Black,10,18
Patriot Viper Xtreme 5 32 GB,179.99,"5,8200","2,16",5.625,Black,9.268,38
TEAMGROUP Elite Plus 16 GB,55.99,"5,4800","2,8",3.499,Black,16.667,40
Samsung M378B5173DB0-CK0 4 GB,12.83,"3,1600","1,4",3.208,Green,13.75,11
Kingston FURY Beast RGB 16 GB,74.98,"5,5200","2,8",4.686,Black,15.385,40
Corsair Vengeance RGB Pro 256 GB,1436.87,"4,3000","8,32",5.613,Black,10.667,16
Corsair Vengeance LPX 16 GB,47.99,"4,3200","2,8",2.999,Black,10,16
Corsair Vengeance RGB RT 32 GB,144.99,"4,4600","2,16",4.531,Black,7.826,18
Silicon Power XPOWER Zenith RGB Gaming 32 GB,99.99,"5,6000","2,16",3.125,White,10,30
Corsair Vengeance RGB 96 GB,359.99,"5,6000","2,48",3.75,Black / Silver,10,30
TEAMGROUP T-Force Vulcan 32 GB,94.99,"5,5600","2,16",2.968,Red,11.429,32
Corsair Vengeance 64 GB,224.99,"5,6000","4,16",3.515,Black / Silver,12,36
Crucial Classic 16 GB,55.99,"5,5600","2,8",3.499,Black,16.429,46
G.Skill Ripjaws S5 64 GB,239.99,"5,6800","2,32",3.75,Black,10,34
Corsair Vengeance RGB 32 GB,115.99,"5,6400","2,16",3.625,Black,11.25,36
Patriot Signature Premium 16 GB,39.99,"4,2666","2,8",2.499,Black,14.254,19
TEAMGROUP Elite 8 GB,17.98,"4,2666","1,8",2.248,Black,14.254,19
Kingston FURY Beast RGB 32 GB,105.65,"4,3200","2,16",3.302,Black,10,16
Patriot Viper Venom 16 GB,69.98,"5,5600","2,8",4.374,Black / White,14.286,40
TEAMGROUP T-Force Delta RGB 64 GB,178.99,"5,6000","2,32",2.797,Black / Silver,12.667,38
Corsair Vengeance LPX 16 GB,44.99,"4,2666","2,8",2.812,Black / Yellow,12.003,16
Kingston FURY 128 GB,558.71,"5,5200","4,32",4.365,White,15.385,40
Corsair Vengeance RGB 32 GB,135.99,"5,6200","2,16",4.25,White,11.613,36
Lexar THOR 32 GB,77.45,"4,3200","2,16",2.42,Black,10,16
Corsair Dominator Titanium 48 GB,259.99,"5,7200","2,24",5.416,Black,10,36
Crucial CT64G4YFQ426S 64 GB,649.95,"4,2666","1,64",10.155,Green / Black,14.254,19
G.Skill Trident Z RGB 32 GB,112.99,"4,3200","4,8",3.531,Black,10,16
Corsair Vengeance LPX 16 GB,49.99,"4,3600","2,8",3.124,Black / Yellow,10,18
Kingston FURY Renegade 32 GB,154.19,"4,3600","2,16",4.818,Black,8.889,16
G.Skill Trident Z5 Neo RGB 64 GB,222.99,"5,6000","2,32",3.484,Silver / Black,10,30
Corsair Vengeance 96 GB,279.99,"5,5600","2,48",2.917,Black,14.286,40
Corsair Vengeance RGB RT 32 GB,104.99,"4,3600","2,16",3.281,Black,8.889,16
Silicon Power XPOWER Zenith RGB Gaming 32 GB,99.99,"5,6000","2,16",3.125,Black,10,30
Corsair Vengeance RGB 32 GB,124.99,"5,6400","2,16",3.906,White / Black,11.25,36
