name,price,tracking_method,connection_type,max_dpi,hand_orientation,color
Adesso iMouse S5,12.99,Optical,Wired,1000,Both,Black
Adesso iMouse S70L,,Optical,Wireless,1000,Both,Blue
Adesso iMouse V10,26.99,Optical,Wireless,1600,Right,Black / Yellow
Adesso iMouse S100B,,Optical,Wireless,1200,Both,Black
Adesso iMouse T30,35.88,Optical,Wireless,4800,Right,Black / Red
Adesso iMouse S70P,,Optical,Wireless,1000,Both,Pink / Black
Adesso iMouse S80L,22.53,Optical,Wireless,1600,Right,Blue / Black
Acco Kensington K72422WW,37.28,Optical,Wireless,1600,Right,Red / Black
Acco Kensington K72392US,,Optical,Wireless,1000,Both,Black
Acco Kensington K72337US,,Optical,Wired,,Both,Black / Blue
Acco KENSINGTON K64327F,,Optical,Wired,,Both,Silver / Black
ADATA XPG INFAREX M10,,Optical,Wired,3200,Right,Black
ADATA XPG INFAREX M20,,Optical,Wired,5000,Right,Black
Microsoft Sculpt Ergonomic,,Laser,Wireless,1000,Right,Black / Blue
Fellowes Penguin Medium,,Laser,Wireless,1200,Both,Black / Silver
Microsoft KTF-00001,55.17,Optical,Bluetooth Wireless,,Both,Black
Microsoft L2 Basic,,Optical,Wired,800,Both,White / Gray
Fellowes Penguin Large,125,Laser,Wired,1200,Both,Black / Silver
Fellowes Penguin Large,,Laser,Wireless,1200,Both,Black / Silver
Microsoft Precision,139.46,Optical,Bluetooth Wireless,,Right,Black / Silver
Microsoft Surface Mobile,,Laser,Bluetooth Wireless,,Both,Black / Silver
Microsoft Surface Mobile,39.99,Laser,Bluetooth Wireless,,Both,Silver
Microsoft Sculpt Mobile,,Laser,Wireless,,Both,Black / Blue
Lenovo 0A34282,,Laser,Wireless,1600,Both,Black / Red
Kodak IMOUSE Q10,,Optical,Wireless,1600,Right,Black
Logitech M325c Urban Lagoon,62,Optical,Wireless,1000,Both,Blue / Black
Trust GXT 101D GAV,,Optical,Wired,4800,Right,Camo
SIIG JK-WR0912-S2,,Optical,Wireless,,Right,Red / Black
Rosewill RWM-002,,Optical,Wireless,1200,Both,White / Black
Rosewill RWM-003,,Optical,Wireless,1200,Both,Gray / Black
Rosewill RWM-004,,Optical,Wireless,1200,Both,Blue / Black
SIIG JK-WR0B12-S2,,Optical,Wireless,1000,Right,Blue / Black
Rosewill ION D12,,Optical,Wired,4000,Right,Black
SIIG JK-WR0M12-S1,,Optical,Wireless,1200,Both,Black
Rosewill NEON M61,,Optical,Wireless,10000,Right,Black / Blue
Rosewill NEON M56,,Optical,Wired,12400,Right,Black
Trust GXT 148 Orna,,Optical,Wired,3200,Both,Black / Red
Verbatim 98113 Go Mini Travel,16,Optical,Wired,,Both,Silver / Black
Verbatim 99770 Silent Wireless Blue Led,13.79,Laser,Wireless,,Both,Blue / Black
Targus W571,,Optical,Wireless,,Right,Black
Targus W573,,Laser,Wireless,,Both,Black
Targus W574,,Laser,Wireless,,Right,Black
V7 MU200-1N,14.98,Optical,Wired,1600,Both,Black
Toshiba U55,,Optical,Wired,1600,Both,Black
Targus B580,24.99,Optical,Bluetooth Wireless,,Both,Black
GAMDIAS Zeus E2,,Optical,Wired,3200,Right,Black
Adesso iMouse E3,57.64,Optical,Wired,6400,Right,Black
Kensington K72421AMA,,Optical,Wireless,1600,Right,Blue / Black
SIIG JK-WR0N12-S1,,Optical,Wireless,1200,Both,Gray / Black
V7 MW500-1N,,Optical,Wireless,1600,Right,Black
Kensington K72339USA,19.98,Optical,Wired,,Both,Black
Key Ovation Newtral 3,,Optical,Wired,3000,Right,Black
SMK-Link VP3830-TAA,,Optical,Wired,2400,Right,Black
Inland 7338,,Optical,Wired,,Both,Transparent / Gray
SMK-Link VP3831,,Optical,Wired,2400,Right,Black
Verbatim 70238,15.95,Optical,Wired,,Both,Purple / Silver
Evoluent VMDM,97.48,Optical,Wired,,Right,Black / Silver
Verbatim 99746,,Optical,Wireless,,Right,Purple / White
Cooler Master MM711 Glossy Black,,Optical,Wired,16000,Right,Black
G-Wolves HT-M 3360 Ash,,Optical,Wired,12000,Right,Silver
G-Wolves HT-M 3360 Black,,Optical,Wired,12000,Right,Black
G-Wolves HT-M 3360 Gray,,Optical,Wired,12000,Right,Gray
Microsoft ELG-00040,126.99,Laser,Bluetooth Wireless,1000,Both,Green
Aula Ghost Shark,,Optical,Wired,2000,Right,Black / Silver
Aula Enter Tainer,,Optical,Wired,4000,Right,Black
Kensington Pro Fit,23.24,Optical,Wired,3200,Right,Black
Kensington Pro Fit,42.31,Optical,Bluetooth Wireless,1600,Right,Gray / White
Verbatim 70243,19.98,Laser,Wireless,1600,Right,Red / Black
Acer Urban Factory Anti-stress Mouse,,Optical,Wired,800,Both,Black / Silver
Acer Urban Factory Crazy Mouse,,Optical,Wired,800,Both,Blue / White
HP 1JR32AA#ABA,,Optical,Wired,1600,Both,Black
SMK-Link Gyration Air Mouse Elite,,Laser,Wireless,,Both,Black / Silver
SMK-Link AIR Mouse GO Plus,,Laser,Wireless,,Both,Black / Silver
Evoluent VMDL,93.94,Laser,Wired,,Right,Black / Silver
ABKONCORE A900,,Optical,Wired,16000,Right,Black / Silver
Endgame Gear XM1,,Optical,Wired,16000,Right,White
Zelotes C-18,,Optical,Wired,10000,Right,Black
Cooler Master MM711 Blue Steel,,Optical,Wired,16000,Right,Blue
Xtreme Gaming DS-2535,,Laser,Wired,16400,Right,Black
Venatos Swapper Pro,,Optical,Wired,16000,Right,Black
‎DREAM MACHINES DM1 FPS,,Optical,Wired,16000,Right,Black
ROCCAT Burst Core,,Optical,Wired,8500,Right,White
GAMDIAS ZEUS E1A,,Optical,Wired,4200,Right,Black
GAMDIAS ZEUS M1,,Optical,Wired,7000,Right,Black
GAMDIAS ZEUS M2,,Optical,Wired,10800,Right,Black
GAMDIAS ZEUS M3,,Optical,Wired,7200,Right,Black
GAMDIAS ZEUS M4,,Optical,Wired,12800,Right,Black
GAMDIAS ZEUS P2,,Optical,Wired,16000,Right,Black
NZXT Lift,,Optical,Wired,16000,Right,Blue / Black
NZXT Lift,,Optical,Wired,16000,Right,Cyan / Black
NZXT Lift,,Optical,Wired,16000,Right,Purple / Black
NZXT Lift,,Optical,Wired,16000,Right,Red / Black
NZXT Lift,,Optical,Wired,16000,Right,Yellow / Black
Mad Catz R.A.T. 2+,,Optical,Wired,5000,Both,Black
Mad Catz R.A.T. 2+,,Optical,Wired,5000,Both,White
Monoprice Dark Matter Hyper-K,,Optical,Wired,16000,Right,Black
Monoprice Dark Matter Super-K,,Optical,Wired,18000,Right,Black
Monoprice Dark Matter Aether,,Optical,Wired,16000,Right,Black
3M Ergonomic EM500GPL,,Optical,Wired,,Right,
Logitech Graphite Signature M550,,Optical,Bluetooth Wireless,4000,Both,Gray
Pulsar Xlite V2,,Optical,Wireless,20000,Right,Red
KLIM Aim,,Optical,Wired,7000,Right,Silver
ninjutso Katana Superlight,,Optical,"Wired, Wireless",19000,Right,Black / White
ninjutso Katana,,Optical,Wired,16000,Right,Black
Logitech MX ANYWHERE 3,,Laser,"Wired, Wireless, Bluetooth Wireless",4000,Right,Gray
Xtrfy M4 RGB,49,Optical,Wired,16000,Right,Blue
Xtrfy M42 RGB,39,Optical,,16000,Right,Blue
Xtrfy M42 RGB,,Optical,,16000,Right,White
Lamzu Atlantis OG,,Optical,"Wired, Wireless",26000,Right,Blue / Pink
Lamzu Atlantis OG,,Optical,"Wired, Wireless",26000,Right,Pink
Pulsar X2 Mini,,Optical,"Wired, Wireless",26000,Right,Red
Endgame Gear XM2w,,Optical,"Wired, Wired, Wireless",26000,Right,Black
ADATA XPG SLINGSHOT,,Optical,Wired,12000,Right,White
ADATA XPG SLINGSHOT,,Optical,Wired,12000,Right,Pink
ADATA XPG SLINGSHOT Mera,,Optical,Wired,12000,Right,Orange / Black
Macally DYNAMOUSE,23.98,Optical,Wired,1600,Both,Black
Logitech M650 L,,Optical,"Wireless, Bluetooth Wireless",4000,Right,White / Gray
