name,price,capacity,price_per_gb,type,cache,form_factor,interface
Silicon Power UD90,214.99,4000,0.054,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Crucial P3,240.75,4000,0.06,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Corsair MP600 CORE XT,139.99,2000,0.07,SSD,,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP MP44,123.99,2000,0.062,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Solidigm P41 Plus,69.99,1000,0.07,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Crucial T705 W/Heatsink,549.99,4000,0.137,SSD,,M.2-2280,M.2 PCIe 5.0 X4
MSI SPATIUM M450,74.99,1000,0.075,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Toshiba MK3276GSX,12.99,320,0.041,5400,8,2.5,SATA 3.0 Gb/s
Corsair MP600 CORE XT,77.98,1000,0.078,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Silicon Power UD85,114.99,2000,0.057,SSD,,M.2-2280,M.2 PCIe 4.0 X4
HP FX900,,1000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Crucial T705,279.99,2000,0.14,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Crucial P5 Plus,138.75,1000,0.139,SSD,1024,M.2-2280,M.2 PCIe 4.0 X4
Seagate SuperSpeed HDD,,1000,,,64,2.5,SATA 6.0 Gb/s
Western Digital Blue,72.99,4000,0.018,5400,256,3.5,SATA 6.0 Gb/s
ADATA XPG GAMMIX S70 Blade,99.99,1000,0.1,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Kingston Fury Renegade,99.99,1000,0.1,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Solidigm P41 Plus,117.99,2000,0.059,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Patriot Burst Elite,13.99,120,0.117,SSD,,2.5,SATA 6.0 Gb/s
Seagate BarraCuda,64.34,2000,0.032,7200,64,3.5,SATA 6.0 Gb/s
Samsung 990 Pro w/Heatsink,119.99,1000,0.12,SSD,1024,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP MP44,233.99,4000,0.058,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Lexar NM620,125.17,2000,0.063,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Crucial BX500,71.14,1000,0.071,SSD,,2.5,SATA 6.0 Gb/s
ADATA XPG GAMMIX S70 Blade,149.99,2000,0.075,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate Exos X18,329.99,18000,0.018,7200,256,3.5,SATA 6.0 Gb/s
Corsair MP600 CORE XT,259.99,4000,0.065,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Intel DC P3600,1500,1200,1.25,SSD,,PCIe,PCIe x4
Seagate ST6000NM0024,82,6000,0.014,7200,128,3.5,SATA 6.0 Gb/s
Western Digital Blue,122,1000,0.122,SSD,,2.5,SATA 6.0 Gb/s
SK Hynix Platinum P41,94.99,1000,0.095,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate Barracuda Compute,121.99,8000,0.015,5400,256,3.5,SATA 6.0 Gb/s
Western Digital Black SN750,76.98,1000,0.077,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Samsung 860 Evo,109.99,500,0.22,SSD,512,2.5,SATA 6.0 Gb/s
Seagate Surveillance HDD,72,1000,0.072,5400,64,3.5,SATA 6.0 Gb/s
TEAMGROUP MS30,55.99,1000,0.056,SSD,,M.2-2280,M.2 SATA
Samsung 970 Evo,162.9,1000,0.163,SSD,1024,M.2-2280,M.2 PCIe 3.0 X4
Corsair MP600,159.99,2000,0.08,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Kingston NV2,250,4000,0.062,SSD,,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP MP34,225.99,4000,0.056,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Sabrent Rocket 4.0,99.99,1000,0.1,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Crucial T705,164.99,1000,0.165,SSD,,M.2-2280,M.2 PCIe 5.0 X4
KingSpec XG7000,127.99,2000,0.064,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Klevv CRAS C910,64.98,1000,0.065,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Acer Predator GM7000,274.99,4000,0.069,SSD,4096,M.2-2280,M.2 PCIe 4.0 X4
Samsung 850 Evo,,250,,SSD,,2.5,SATA 6.0 Gb/s
TEAMGROUP T-Force Vulcan Z,27.99,480,0.058,SSD,,2.5,SATA 6.0 Gb/s
Crucial T700 W/Heatsink,446.99,4000,0.112,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Samsung 870 Evo,30.98,250,0.124,SSD,512,2.5,SATA 6.0 Gb/s
Seagate IronWolf NAS,94.89,4000,0.024,5400,256,3.5,SATA 6.0 Gb/s
Western Digital Ultrastar DC HC550,238.99,16000,0.015,7200,512,3.5,SATA 6.0 Gb/s
Western Digital Black SN850X w/Heatsink,173.99,2000,0.087,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Crucial MX500,273.49,4000,0.068,SSD,,2.5,SATA 6.0 Gb/s
Crucial P5 Plus,91.95,500,0.184,SSD,1024,M.2-2280,M.2 PCIe 4.0 X4
Crucial BX500,124.99,2000,0.062,SSD,,2.5,SATA 6.0 Gb/s
MSI SPATIUM M480 PRO,209.03,2000,0.105,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Lexar NM710,158.99,2000,0.079,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Solidigm P44 Pro,169.99,2000,0.085,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Solidigm P44 Pro,87.99,1000,0.088,SSD,,M.2-2280,M.2 PCIe 4.0 X4
PNY CS2241,209.99,4000,0.052,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Patriot P210,53.99,1000,0.054,SSD,,2.5,SATA 6.0 Gb/s
Seagate FireCuda,278.27,8000,0.035,7200,256,3.5,SATA 6.0 Gb/s
Corsair MP700 PRO,299.99,2000,0.15,SSD,,M.2-2280,M.2 PCIe 5.0 X4
ADATA Legend 800,76.41,1000,0.076,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Sabrent Rocket 4 Plus,219.99,2000,0.11,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate IronWolf Pro NAS,439.99,22000,0.02,7200,512,3.5,SATA 6.0 Gb/s
FanXiang S500 Pro,64.98,1000,0.065,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Samsung 970 Evo,116.55,500,0.233,SSD,512,M.2-2280,M.2 PCIe 3.0 X4
Silicon Power P34A60,39.99,512,0.078,SSD,,M.2-2280,M.2 PCIe 3.0 X4
ADATA XPG SX8200 Pro,94.14,1000,0.094,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Corsair MP700 PRO,569.99,4000,0.142,SSD,,M.2-2280,M.2 PCIe 5.0 X4
ADATA Legend 800,108.99,2000,0.054,SSD,,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP T-Force Vulcan Z,21.99,240,0.092,SSD,,2.5,SATA 6.0 Gb/s
Klevv CRAS C710,59.99,1000,0.06,SSD,,M.2-2280,M.2 PCIe 3.0 X4
TEAMGROUP MP33,25.99,256,0.102,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital AV-GP,24.98,1000,0.025,5400,64,3.5,SATA 6.0 Gb/s
Leven JPS800,104.99,2000,0.052,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Blue SN550,133,1000,0.133,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Mushkin Vortex Redline,77.98,1000,0.078,SSD,1024,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP Cardea Zero Z440 Graphene,,2000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 870 QVO,166.05,2000,0.083,SSD,,2.5,SATA 6.0 Gb/s
Gigabyte AORUS Gen4 7300,123.05,1000,0.123,SSD,1024,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP T-Force Cardea Z44L,,1000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
KIOXIA EXCERIA G2,,1000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Corsair MP700,149.99,1000,0.15,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Seagate Constellation ES.3,25.5,1000,0.025,7200,128,3.5,SATA 6.0 Gb/s
Seagate 1200 SSD,3187.5,800,3.984,SSD,,2.5,SAS 12.0 Gb/s
Western Digital Red,89.99,4000,0.022,5400,256,3.5,SATA 6.0 Gb/s
Acer Predator GM7000,54.99,512,0.107,SSD,512,M.2-2280,M.2 PCIe 4.0 X4
ADATA XPG GAMMIX S7,59.99,1000,0.06,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Blue,80.98,500,0.162,SSD,,2.5,SATA 6.0 Gb/s
Seagate IronWolf NAS,175.99,8000,0.022,7200,256,3.5,SATA 6.0 Gb/s
Seagate BarraCuda Q5,63.99,1000,0.064,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital AV-GP,,500,,5400,32,3.5,SATA 3.0 Gb/s
Western Digital WD_BLACK,249.99,10000,0.025,7200,256,3.5,SATA 6.0 Gb/s
Samsung 980,44.99,250,0.18,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Blue,124.95,8000,0.016,5640,128,3.5,SATA 6.0 Gb/s
KIOXIA EXCERIA PLUS G3,,1000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 850 Evo,,500,,SSD,,2.5,SATA 6.0 Gb/s
Western Digital Blue SN580,58.88,500,0.118,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Kingston KC3000,70.98,512,0.139,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 870 QVO,339.99,4000,0.085,SSD,,2.5,SATA 6.0 Gb/s
Seagate Exos X20,379.99,20000,0.019,7200,256,3.5,SATA 6.0 Gb/s
Silicon Power P34A60,60.99,1000,0.061,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Intel 670p,86.37,1000,0.086,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Sabrent Rocket Q,,8000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Corsair MP700,248.99,2000,0.124,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Kingston A400,27.99,120,0.233,SSD,,2.5,SATA 6.0 Gb/s
Seagate IronWolf NAS,179.99,8000,0.022,7200,256,3.5,SATA 6.0 Gb/s
MSI SPATIUM M450,41.98,500,0.084,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Silicon Power A60,104.99,2000,0.052,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Black SN850X w/Heatsink,111.1,1000,0.111,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Intel DC P3600,1392,1600,0.87,SSD,,PCIe,PCIe x4
TEAMGROUP MP44,74.98,1000,0.075,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Crucial P2,89.99,1000,0.09,SSD,,M.2-2280,M.2 PCIe 3.0 X4
TEAMGROUP T-Force Vulcan Z,199.99,4000,0.05,SSD,,2.5,SATA 6.0 Gb/s
TEAMGROUP MP33 PRO,64.98,1000,0.065,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Black SN750,49.99,500,0.1,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Silicon Power A55,57.99,1000,0.058,SSD,,2.5,SATA 6.0 Gb/s
Western Digital Red Plus,229.99,12000,0.019,7200,256,3.5,SATA 6.0 Gb/s
Patriot P310,35.99,480,0.075,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Seagate Constellation CS,49.99,3000,0.017,7200,64,3.5,SATA 6.0 Gb/s
Silicon Power A55,97.99,2000,0.049,SSD,,2.5,SATA 6.0 Gb/s
Seagate IronWolf Pro NAS,349.99,20000,0.017,7200,256,3.5,SATA 6.0 Gb/s
Western Digital Blue,27.35,500,0.055,5400,64,3.5,SATA 6.0 Gb/s
Samsung 870 QVO,79.98,1000,0.08,SSD,,2.5,SATA 6.0 Gb/s
Gigabyte AORUS Gen4 7300,209.7,2000,0.105,SSD,2048,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Black SN770,49.99,250,0.2,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Corsair MP700 PRO w/Heatsink,589.99,4000,0.147,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Seagate IronWolf Pro NAS,314.99,16000,0.02,7200,256,3.5,SATA 6.0 Gb/s
Leven JM600,54.99,1000,0.055,SSD,,M.2-2280,M.2 SATA
Inland TN450,69.98,1000,0.07,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Caviar Blue,19.88,500,0.04,7200,16,3.5,SATA 6.0 Gb/s
Western Digital Blue,39.99,1000,0.04,5400,64,3.5,SATA 6.0 Gb/s
Kingston Fury Renegade,334.52,4000,0.084,SSD,,M.2-2280,M.2 PCIe 4.0 X4
PNY CS900,36.99,500,0.074,SSD,,2.5,SATA 6.0 Gb/s
SanDisk SSD PLUS,74.99,1000,0.075,SSD,,2.5,SATA 6.0 Gb/s
Toshiba DT01ACA100,,1000,,7200,32,3.5,SATA 6.0 Gb/s
KIOXIA EXCERIA PLUS G3,,2000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital WD_BLACK,99.99,2000,0.05,7200,64,3.5,SATA 6.0 Gb/s
Patriot P210,19.98,256,0.078,SSD,,2.5,SATA 6.0 Gb/s
FanXiang S500 Pro,38.99,512,0.076,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Patriot P310,,960,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Corsair MP700 PRO,179.99,1000,0.18,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Patriot Viper VP4300 Lite,119.99,2000,0.06,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Kingston KC600,33.85,256,0.132,SSD,,2.5,SATA 6.0 Gb/s
Crucial P2,78.55,500,0.157,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Green SN350,59.99,960,0.062,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Intel 660p,75,1020,0.074,SSD,,M.2-2280,M.2 PCIe 3.0 X4
TEAMGROUP EX2,,16000,,SSD,,2.5,SATA 6.0 Gb/s
TEAMGROUP GX2,32.99,512,0.064,SSD,,2.5,SATA 6.0 Gb/s
Toshiba MQ01ABD050,16,500,0.032,5400,8,2.5,SATA 3.0 Gb/s
Crucial P1,109,1000,0.109,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Silicon Power US75,214.99,4000,0.054,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Lexar NM620,42.99,512,0.084,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Mushkin Helix-L,37.99,512,0.074,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Silicon Power A55,34.99,512,0.068,SSD,,2.5,SATA 6.0 Gb/s
PNY CS1030,74.98,1000,0.075,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Leven JS600,184.99,4000,0.046,SSD,,2.5,SATA 6.0 Gb/s
Seagate BarraCuda,131.66,5000,0.026,5400,128,2.5,SATA 6.0 Gb/s
TEAMGROUP MP44L,43.99,500,0.088,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Crucial MX500,39.99,250,0.16,SSD,256,2.5,SATA 6.0 Gb/s
Crucial BX500,27.99,240,0.117,SSD,,2.5,SATA 6.0 Gb/s
Western Digital Green SN350,39.99,480,0.083,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Green SN350,119.34,2000,0.06,SSD,,M.2-2280,M.2 PCIe 3.0 X4
SK Hynix Gold P31,84.99,1000,0.085,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Inland Performance Plus,138.99,2000,0.069,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Silicon Power UD85,67.98,1000,0.068,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate Surveillance HDD,,2000,,5400,64,3.5,SATA 6.0 Gb/s
TEAMGROUP CX2,102.99,2000,0.051,SSD,,2.5,SATA 6.0 Gb/s
Seagate BarraCuda,81.5,2000,0.041,5400,128,2.5,SATA 6.0 Gb/s
Toshiba P300,71.14,1000,0.071,7200,64,3.5,SATA 6.0 Gb/s
Patriot P310,21.99,240,0.092,SSD,,M.2-2280,M.2 PCIe 3.0 X4
ADATA XPG SX8200 Pro,116,2000,0.058,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Crucial T700 W/Heatsink,289.99,2000,0.145,SSD,,M.2-2280,M.2 PCIe 5.0 X4
ADATA SU630,30.47,240,0.127,SSD,,2.5,SATA 6.0 Gb/s
Crucial P5 Plus W/Heatsink,172.47,2000,0.086,SSD,,M.2-2280,M.2 PCIe 4.0 X4
