name,price,protocol,interface,color
Asus USB-AC56,,Wi-Fi 5,USB Type-A 3.2 Gen 1,
Rosewill RNX-N300X,29.98,Wi-Fi 4,PCI,
Intel 7260HMW,,Wi-Fi 5,Half Mini-PCIe,
Edimax EW-7811Un,,Wi-Fi 4,USB Type-A 2.0,
Patriot PCBOWAU2-N,,Wi-Fi 4,USB Type-A 2.0,
Syba SY-PEX23063,,Wi-Fi 4,PCIe x1,
Rosewill RNX-AC600PCEv3,,Wi-Fi 5,PCIe x1,Black
Rosewill RNX-AC1900UB,17.98,Wi-Fi 5,USB Type-A 3.2 Gen 1,Black
Rosewill RNX-N180UB,,Wi-Fi 4,USB Type-A 2.0,
TRENDnet TEW-643PI,43.99,Wi-Fi 4,PCI,
StarTech USB433ACD1X1,23.99,Wi-Fi 5,USB Type-A 2.0,Black
Rosewill RNX-N150PCe,60,Wi-Fi 4,PCIe x1,
Asus USB-AC53,,Wi-Fi 5,USB Type-A 2.0,
Linksys AE2500-NP,,Wi-Fi 4,USB Type-A 2.0,
TP-Link Archer T8E,,Wi-Fi 5,PCIe x1,
BrosTrend AC3L Linux Wi-Fi Adapter,37.99,Wi-Fi 5,USB Type-A 3.2 Gen 1,Black
Rosewill RNX-AC600NUBv2,,Wi-Fi 5,USB Type-A 2.0,Black
Linksys WMP600N,34.68,Wi-Fi 4,PCI,
Asus PCE-N10,,Wi-Fi 4,PCIe x1,
TP-Link TL-WN851ND,,Wi-Fi 4,PCI,
Belkin F9L1001,53.99,Wi-Fi 4,USB Type-A 2.0,
Cisco AE2500,99.99,Wi-Fi 4,USB Type-A 2.0,
StarTech USB300WN2X2C,18.98,Wi-Fi 4,USB Type-A 2.0,
TRENDnet TBW-108UB,10.99,Wi-Fi 4,USB Type-A 2.0,Black
Asus PCE-N53,,Wi-Fi 4,PCIe x1,
Intel 2200BNHMWDTX1,,Wi-Fi 4,PCIe x1,
D-Link DWA-548,,Wi-Fi 4,PCIe x1,
Feb Smart FS-N600 Basic Edition,,Wi-Fi 5,PCIe x1,
HP 9260,,Wi-Fi 5,PCIe x1,Green / Black
Intel 62205AN.HMWWB,,Wi-Fi 4,Half Mini-PCIe,
TP-Link TL-WN8200ND,,Wi-Fi 4,USB Type-A 2.0,
Cisco AIR-PI21AG-A-K9,,Wi-Fi 3,PCI,
Belkin F9L1103,24.99,Wi-Fi 4,USB Type-A 2.0,
StarTech USB150WN1X1W,20.16,Wi-Fi 4,USB Type-A 2.0,
TP-Link Archer T4UH,66.27,Wi-Fi 5,USB Type-A 3.2 Gen 1,
Linksys AE3000-CA,79.77,Wi-Fi 4,USB Type-A 2.0,
Edimax EW-7612PIn,36.99,Wi-Fi 4,PCIe x1,
Edimax EW-7822UAC,,Wi-Fi 5,USB Type-A 3.2 Gen 1,
TP-Link TL-WN721N,,Wi-Fi 4,USB Type-A 2.0,
Belkin F9L1101,78.3,Wi-Fi 4,USB Type-A 2.0,
StarTech USB867WAC22,39.99,Wi-Fi 5,USB Type-A 3.2 Gen 1,
TP-Link Archer T1U,,Wi-Fi 5,USB Type-A 2.0,
BrosTrend AC1,23.99,Wi-Fi 5,USB Type-A 3.2 Gen 1,Black
Rosewill RNX-AC600HGUBEv2,19.23,Wi-Fi 5,USB Type-A 2.0,Black
Rosewill RNX-AC1900PCEv2,,Wi-Fi 5,PCIe x1,Red / Black
InFocus INA-WIFIUSB-4,,Wi-Fi 5,USB Type-A 2.0,Black
fenvi FV-AX3000R,,Wi-Fi 6,PCIe x1,Red / Black
TRENDnet TEW-703PIL,,Wi-Fi 4,PCI,
D-Link DWA-160,52.99,Wi-Fi 4,USB Type-A 2.0,
D-Link DWA-182,44.49,Wi-Fi 5,USB Type-A 2.0,
Hawking Technology HW12ACU,22.23,Wi-Fi 5,USB Type-A 2.0,Black
TP-Link TL-WN751ND,60.49,Wi-Fi 4,PCI,
Asus USB-N10,,Wi-Fi 4,USB Type-A 2.0,
StarTech USB300WN2X2D,,Wi-Fi 4,USB Type-A 2.0,
Linksys AE2500,42.12,Wi-Fi 4,USB Type-A 2.0,
Linksys AE3000-NP,,Wi-Fi 4,USB Type-A 2.0,
Rosewill RNX-N150HG,,Wi-Fi 4,USB Type-A 2.0,
Encore ENUWI-1XN4M,21,Wi-Fi 4,USB Type-A 2.0,
TRENDnet TEW-649UB,58.88,Wi-Fi 4,USB Type-A 2.0,
Rosewill N600PCE,45,Wi-Fi 4,PCIe x1,
Rosewill N900PCE,,Wi-Fi 4,PCIe x1,
D-Link DWA-130,,Wi-Fi 4,USB Type-A 2.0,
Netgear WNA1100-100ENS,,Wi-Fi 4,USB Type-A 2.0,
TP-Link TL-WDN3200,,Wi-Fi 4,USB Type-A 2.0,
StarTech PCI300WN2X2,,Wi-Fi 4,PCI,
TRENDnet TEW-726EC,58.49,Wi-Fi 4,PCIe x1,
D-Link DWA-162,18.38,Wi-Fi 4,USB Type-A 2.0,
Hawking Technology HAWNU1,,Wi-Fi 4,USB Type-A 2.0,
Buffalo Technology WI-U2-433DM,,Wi-Fi 5,USB Type-A 2.0,
Rosewill AC1200UBE,,Wi-Fi 5,USB Type-A 3.2 Gen 1,
Edimax EW-7711MAC,,Wi-Fi 5,USB Type-A 2.0,
TRENDnet TEW-806UBH,,Wi-Fi 5,USB Type-A 2.0,
TP-Link ARCHER T4UHP,,Wi-Fi 5,USB Type-A 3.2 Gen 1,Black
Sabrent USBG802,,Wi-Fi 3,USB Type-A 2.0,Black
HP 8265,49.99,Wi-Fi 5,PCIe x1,Green / Black
Intel AX210,,Wi-Fi 6E,M.2 PCIe,Green
Encore ENEWI-1XN42,23.95,Wi-Fi 4,PCIe x1,
Syba SY-ADA23026,11.78,Wi-Fi 4,USB Type-A 2.0,
Linksys AE3000,69.36,Wi-Fi 4,USB Type-A 2.0,
StarTech USB150WN1X1,14.99,Wi-Fi 4,USB Type-A 2.0,
Edimax EW-7811DAC,,Wi-Fi 5,USB Type-A 2.0,
Asus PCE-AC66,,Wi-Fi 5,PCIe x1,
Belkin F7D2102,,Wi-Fi 4,USB Type-A 2.0,
Belkin B2N002,,Wi-Fi 4,USB Type-A 2.0,
Asus USB-N13,,Wi-Fi 4,USB Type-A 2.0,
IOGEAR GWU625,69.95,Wi-Fi 4,USB Type-A 2.0,
Intel 2200BNHMWDTX1G,,Wi-Fi 4,PCIe x1,
Intel 633AN.HMWWB,,Wi-Fi 4,Half Mini-PCIe,
Rosewill RNX-G300LX,,Wi-Fi 3,PCI,
Rosewill RNX-MiniN2(RWLD-11002),,Wi-Fi 4,USB Type-A 2.0,
Rosewill RNX-N150PCx,,Wi-Fi 4,PCI,
Rosewill RNX-N150UBE,,Wi-Fi 4,USB Type-A 2.0,
Rosewill RNX-N180UBE,,Wi-Fi 4,USB Type-A 2.0,
Rosewill RNX-N250UBE,,Wi-Fi 4,USB Type-A 2.0,
Syba CL-ADA23032,,Wi-Fi 4,USB Type-A 2.0,
Syba CL-ADA24004,,Wi-Fi 4,USB Type-A 2.0,
TRENDnet TEW-648UB,,Wi-Fi 4,USB Type-A 2.0,
TRENDnet TEW-646UBH,,Wi-Fi 4,USB Type-A 2.0,
TRENDnet TEW-703PI,,Wi-Fi 4,PCI,
Rosewill N900UBE,,Wi-Fi 4,USB Type-A 2.0,
Intel 6235AN.HMWWB,17.98,Wi-Fi 4,Half Mini-PCIe,
Asus USB-N66,,Wi-Fi 4,USB Type-A 2.0,
Linksys AE1200-NP,,Wi-Fi 4,USB Type-A 2.0,
Linksys AE1200,41,Wi-Fi 4,USB Type-A 2.0,
Rosewill RNX-N250PC2,,Wi-Fi 4,PCI,
Belkin E9L1500,,Wi-Fi 4,USB Type-A 2.0,
Belkin E9L3000,,Wi-Fi 4,USB Type-A 2.0,
Belkin E9L6000,,Wi-Fi 4,USB Type-A 2.0,
Belkin E9L7500,,Wi-Fi 4,USB Type-A 2.0,
Diamond WL700NXS,,Wi-Fi 4,USB Type-A 2.0,
Encore ENUWI-1XN42,,Wi-Fi 4,USB Type-A 2.0,
Encore ENUWI-1XN45,,Wi-Fi 4,USB Type-A 2.0,
Encore ENUWI-2XN42,,Wi-Fi 4,USB Type-A 2.0,
Encore ENUWI-2XN45,,Wi-Fi 4,USB Type-A 2.0,
IOGEAR GWU627W6,,Wi-Fi 4,USB Type-A 2.0,
Patriot PCUSBW1150,,Wi-Fi 4,USB Type-A 2.0,
TRENDnet TEW-684UB,,Wi-Fi 4,USB Type-A 2.0,
Encore ENEWI-1XN45,,Wi-Fi 4,PCIe x1,
Encore ENEWI-2XN42,,Wi-Fi 4,PCIe x1,
Encore ENEWI-2XN45,,Wi-Fi 4,PCIe x1,
TRENDnet TEW-623PI,,Wi-Fi 4,PCI,
Rosewill RNX-N600UBE,,Wi-Fi 4,USB Type-A 2.0,
TRENDnet TEW-424UB,,Wi-Fi 3,USB Type-A 2.0,
D-Link DWA-125,,Wi-Fi 4,USB Type-A 2.0,
D-Link DWA-566,,Wi-Fi 4,PCIe x1,
Netgear A6200-100NAS,47.99,Wi-Fi 5,USB Type-A 2.0,
Netgear WN311B-100NAS,,Wi-Fi 4,PCI,
Netgear WNA1000M-100ENS,,Wi-Fi 4,USB Type-A 2.0,
Netgear WNA3100-100ENS,,Wi-Fi 4,USB Type-A 2.0,
Netgear WNA3100M-100ENS,,Wi-Fi 4,USB Type-A 2.0,
Netgear WNDA4100-100NAS,,Wi-Fi 4,USB Type-A 2.0,
TP-Link TL-WDN3800,,Wi-Fi 4,PCIe x1,
TP-Link TL-WN723N,,Wi-Fi 4,USB Type-A 2.0,
TP-Link TL-WN727N,,Wi-Fi 4,USB Type-A 2.0,
Intel 6235ANHMW,,Wi-Fi 4,Half Mini-PCIe,
3M 78-6972-0104-0,,Wi-Fi 3,USB Type-A 2.0,
Intel 105,,Wi-Fi 4,Mini-PCIe,
Intel 135,,Wi-Fi 4,Mini-PCIe,
Intel 2200BNHMW,,Wi-Fi 4,Mini-PCIe,
Intel 7260HMW,,Wi-Fi 4,Mini-PCIe,
Intel 7260HMW BN,,Wi-Fi 4,Mini-PCIe,
Linksys AE6000,,Wi-Fi 5,USB Type-A 2.0,
Orico ORICO WRA150,,Wi-Fi 4,USB Type-A 2.0,
Orico ORICO WRB150,,Wi-Fi 4,USB Type-A 2.0,
Orico ORICO WRB150,,Wi-Fi 4,USB Type-A 2.0,
Orico ORICO WRD150,,Wi-Fi 4,USB Type-A 2.0,
Orico WRD150BLK,,Wi-Fi 4,USB Type-A 2.0,
Samsung WIS12ABGNX/XAA,,Wi-Fi 4,USB Type-A 2.0,
TRENDnet TEW-624UB,,Wi-Fi 4,USB Type-A 2.0,
TRENDnet TEW-664UB,,Wi-Fi 4,USB Type-A 2.0,
TRENDnet TEW-805UB,,Wi-Fi 5,USB Type-A 3.2 Gen 1,
D-Link DWA-180,,Wi-Fi 5,USB Type-A 2.0,
D-Link DWA-525,,Wi-Fi 4,PCI,
Edimax EW-7128Gn,,Wi-Fi 4,PCI,
Edimax EW-7711USN,,Wi-Fi 4,USB Type-A 2.0,
Edimax EW-7722In,,Wi-Fi 4,PCI,
Edimax EW-7722UTn,,Wi-Fi 4,USB Type-A 2.0,
Edimax EW-7722PnD,,Wi-Fi 4,PCIe x1,
Edimax EW-7722UnD,,Wi-Fi 4,USB Type-A 2.0,
Hawking Technology HAWNU2,,Wi-Fi 4,USB Type-A 2.0,
Hawking Technology HD45U,,Wi-Fi 4,USB Type-A 2.0,
Hawking Technology HWDN3,,Wi-Fi 4,USB Type-A 2.0,
Hawking Technology HWUG1,,Wi-Fi 3,USB Type-A 2.0,
Hawking Technology HWUN4,,Wi-Fi 4,USB Type-A 2.0,
IOGEAR GWU523,,Wi-Fi 3,USB Type-A 2.0,
Rosewill RNX-G300EX,,Wi-Fi 3,PCI,
SIIG CN-WR0811-S1,,Wi-Fi 4,PCIe x1,
Belkin F9L1002,,Wi-Fi 4,USB Type-A 2.0,
Belkin F9L1109-OM,,Wi-Fi 5,USB Type-A 3.2 Gen 1,
Buffalo Technology WI-U2-300D,,Wi-Fi 4,USB Type-A 2.0,
Belkin F7D1102,,Wi-Fi 4,USB Type-A 2.0,
Cisco AM10,,Wi-Fi 4,USB Type-A 2.0,
D-Link N69506,,Wi-Fi 4,USB Type-A 2.0,
D-Link DWA-548,,Wi-Fi 4,PCIe x1,
Encore ENLWI-N3,,Wi-Fi 4,PCI,
Linksys WUSB600N,49.99,Wi-Fi 4,USB Type-A 2.0,
SIIG JU-WR0012-S1,,Wi-Fi 4,USB Type-A 2.0,
SIIG JU-WR0212-S1,,Wi-Fi 4,USB Type-A 2.0,
TRENDnet TEW-804UB,,Wi-Fi 5,USB Type-A 2.0,
SIIG JU-WR0112-S1,,Wi-Fi 4,USB Type-A 2.0,
TP-Link TL-WDN4200,,Wi-Fi 4,USB Type-A 2.0,
Cisco AE3000,,Wi-Fi 4,USB Type-A 2.0,
Intel 6205,,Wi-Fi 4,Mini-PCIe,
Intel 6235ANHMW,,Wi-Fi 4,Mini-PCIe,
Intel 7260HMW,,Wi-Fi 5 (5 GHz only),Mini-PCIe,
Asus USB-AC55,,Wi-Fi 5,USB Type-A 3.2 Gen 1,
Asus USB-N13,,Wi-Fi 4,USB Type-A 2.0,
Belkin AE3000,,Wi-Fi 4,USB Type-A 2.0,
Belkin F7D2102TT,,Wi-Fi 4,USB Type-A 2.0,
BenQ WDRT8192,,Wi-Fi 4,USB Type-A 2.0,
Cisco AE1200,,Wi-Fi 4,USB Type-A 2.0,
Hawking Technology HD65U,,Wi-Fi 5,USB Type-A 2.0,
Hawking Technology HW7ACU,,Wi-Fi 5,USB Type-A 2.0,
IOGEAR GWU735,,Wi-Fi 5,USB Type-A 3.2 Gen 1,
Rosewill RNX-AC1200UBE2,,Wi-Fi 5,USB Type-A 3.2 Gen 1,
Rosewill RNX-AC1200PCE,,Wi-Fi 5,PCIe x1,
Rosewill RNX-N600UB,,Wi-Fi 4,USB Type-A 2.0,
StarTech USB433WACDB,31.68,Wi-Fi 5,USB Type-A 2.0,
Intel 3160.NGWG,,Wi-Fi 5,Mini-PCIe,
Intel 6300,,Wi-Fi 4,Mini-PCIe,
Intel 7260,32.5,Wi-Fi 4,Mini-PCIe,
Intel 7260,,Wi-Fi 4,Mini-PCIe,
Intel 7260,,Wi-Fi 4,Mini-PCIe,
Belkin AE6000,,Wi-Fi 5,USB Type-A 2.0,
AUKEY WF-R12,,Wi-Fi 5,USB Type-A 3.2 Gen 1,
Athenatech NE-WN3201D,,Wi-Fi 4,USB Type-A 2.0,
TP-Link Archer T2UH,,Wi-Fi 5,USB Type-A 2.0,
Rosewill RNX-N600PCE_v2.0,,Wi-Fi 4,PCIe x1,
Rosewill RNX-N150NUB,,Wi-Fi 4,USB Type-A 2.0,
Rosewill RNX-N150NUB,,Wi-Fi 4,USB Type-A 2.0,
Rosewill RNX-N150NUB,,Wi-Fi 4,USB Type-A 2.0,
Linksys AE2500-CA,,Wi-Fi 4,USB Type-A 2.0,
Netgear WF2190,,Wi-Fi 5,USB Type-A 3.2 Gen 1,
Inamax 4332804407,,Wi-Fi 5,USB Type-A 3.2 Gen 1,Black
Hawking Technology HW17ACU,41.43,Wi-Fi 5,USB Type-A 2.0,Black
BrosTrend AC1L,27.99,Wi-Fi 5,USB Type-A 3.2 Gen 1,Black
BrosTrend AC6,,Wi-Fi 5,PCIe x1,Red / Black
Rosewill RNX-AC1200UBv2,,Wi-Fi 5,USB Type-A 3.2 Gen 1,Black
Asus USB-AC55 B1,,Wi-Fi 5,USB Type-A 3.2 Gen 1,Black
Rosewill RNX-AC2030PCE,,Wi-Fi 5,PCIe x1,Red / Black
Syba SY-PEX23059,,Wi-Fi 4,PCIe x1,Green / Black
fenvi FV-8802,,Wi-Fi 5,PCIe x1,Black / Orange
Sabrent USB-802N,23.68,Wi-Fi 4,USB Type-A 2.0,Black
Belkin Linksys AE1200-NP,,Wi-Fi 4,USB Type-A 3.2 Gen 1,Black
fenvi FV8303,,Wi-Fi 4,PCIe x1,
Hommie N900,,Wi-Fi 4,PCIe x1,
Intel AX210 w/vPro,,Wi-Fi 6E,M.2 PCIe,Green
Intel AX210,,Wi-Fi 6E,M.2 PCIe,Green
Intel AX210 w/vPro,,Wi-Fi 6E,M.2 PCIe,Green
fenvi FV-2030T,,Wi-Fi 5,PCIe x1,Red
