name,price,size,color,rpm,airflow,noise_level,pwm
Lian Li UNI FAN SL Wireless 3-Pack,93.9,120,Black,"400,2000",64.05,28.5,true
ARCTIC P12 Pro 5-Pack,27.49,120,Black,"600,3000",77,,true
Corsair RS120 ARGB,19.98,120,White,"420,2100","13.3,72.8","10,36",true
Thermalright TL-M12-S,9.09,120,Black,1500,47.6,23.2,true
Corsair iCUE LINK QX120 RGB Starter Kit 3-Pack,149.95,120,White,"480,2400","16.44,63.1",,true
Noctua A14 industrialPPC-3000 PWM,32.95,140,Brown / Black,"800,3000",158.5,41.3,true
NZXT F120Q (2024),21.98,120,Black,"500,1700",74.26,25.1,true
Lian Li UNI FAN SL Wireless 3-Pack,89.99,120,White,"400,2000",64.05,28.5,true
NZXT F120 RGB 3-Pack,80.25,120,Black,"500,1800","13.94,50.18","17.2,27.5",true
Thermalright TL-C12C X5 5-Pack,18.09,120,Black,1550,66.17,25.6,true
Montech AX120,14.9,120,Black,"800,1600",59,27,true
Noctua F12 industrialPPC-3000 PWM,29.95,120,Brown / Black,"750,3000",109.89,43.5,true
Corsair iCUE LINK RX120 3-Pack,104.99,120,White,2100,"10.5,74.2","10,36",false
Phanteks M25G2-120 D-RGB 3-Pack,36.99,120,Black,"350,2000",72.72,35.13,true
Corsair iCUE LINK LX120 RGB 3-Pack,105.99,120,Black,"400,2400","9.75,69.9","10,36",true
Thermalright TL-C14C-S,8.28,140,Black,1500,75.8,26.4,true
Noctua A12x15 PWM chromax.black.swap,29.95,120,Black / Multicolor,"450,1850",55.44,23.9,true
ARCTIC P12 Max,13.68,120,White,"200,3300",81.04,,true
Noctua NF-A12x25 G2 PWM Sx2-PP 2-Pack,64.9,120,Brown,"1500,1800","51.32,63.15","18.1,22.5",true
Thermalright TL-C12C,6.99,120,Black,1550,66.17,25.6,true
Phanteks M25G2-120 D-RGB Reverse 3-Pack,36.99,120,Black,"350,2000",73.69,39.28,true
Thermalright TL-C12CW-S X5 5-Pack,17.59,120,White,1550,66.17,25.6,true
Lian Li UNI FAN SL-INF Wireless 3-Pack,104.99,120,Black,"200,2200",69.7,32.2,true
Corsair RS120,14.99,120,Black,"420,2100","13.3,72.8","10,36",true
Lian Li Uni Fan SL-Infinity,35.99,140,White,"200,1600",72.7,28,true
ARCTIC P12 Pro,8.49,120,Black,"600,3000",77,,true
Lian Li UNI FAN SL V2,45.04,120,Black / Silver,"250,2000",64.5,29.2,true
Noctua A12x15 PWM,23.95,120,Brown,"450,1850","41.67,55.44","16.8,23.9",true
Thermalright TL-C12RB-S V2,6.59,120,Black / White,1500,58,25.6,true
be quiet! Pure Wings 3,12.9,140,Black,1200,57.4,21.9,true
ARCTIC P14 PST 5-Pack,40.99,140,Black,"200,1700",72.8,22.5,true
Noctua F12 PWM,21.95,120,Brown,"300,1500","43.73,54.97","18.6,22.4",true
be quiet! Pure Wings 3,16.98,120,Black,1600,49.9,25.5,true
Thermalright TL-C14C,7.99,140,Black,1500,75.8,26.4,true
NZXT F120 RGB 3-Pack,74.29,120,White,"500,1800","13.94,50.18","17.2,27.5",true
Thermalright TL-C12W-S V3 X3 3-Pack,12.9,120,White,1500,66.17,25.6,true
be quiet! Silent Wings 4,26.9,120,Black,2500,76.7,"32.1,31.2",true
Thermalright TL-M12,7.29,120,Black,1500,47.6,23.2,true
Thermalright TL-M12R,7.29,120,Black,1500,42.6,23.2,true
Lian Li UNI FAN TL Wireless 3-Pack,101.99,120,Black,"200,2300",83.4,34,true
Phanteks M25G2-120 D-RGB Reverse 3-Pack,36.99,120,White,"350,2000",73.69,39.28,true
Thermalright TL-C12CW-S,6.69,120,White,1550,66.17,25.6,true
ARCTIC P14 PWM PST A-RGB,21.99,140,Black,,"0,68",,true
NZXT F120P (2024),24.98,120,Black,"500,2000",73.47,30,true
ARCTIC P12 Slim PWM PST,13.99,120,Black,"300,2100",41.1,22.5,true
Lian Li UNI FAN SL-INF Wireless 3-Pack,104.99,120,White,"200,2200",69.7,32.2,true
Phanteks PH-F120T30,60.36,120,Black / Gray,,"0,101","0,39.7",true
ARCTIC P12 PST A-RGB 0dB,19.98,120,Black,,48.8,,true
Corsair iCUE LINK LX120-R RGB 3-Pack,139.99,120,White,2400,70,35.1,true
Lian Li UNI FAN SL V2 120 Reverse,,120,Black,"250,2000",65.4,32,true
Lian Li UNI FAN TL LCD 120 Reverse Blade 3-Pack,,120,Black,,83.4,34,true
be quiet! Light Wings PWM high-speed 3-Pack,69.9,120,Black,2500,52.3,31,true
ARCTIC P12 Pro A-RGB,12.49,120,Black,"600,3000",77,,true
ARCTIC P12 PST,10.49,120,White,"200,1800",56.3,,true
Thermalright TL-S12RW X3 3-Pack,14.9,120,White,1500,47.6,23.2,true
Lian Li UNI FAN SL V2 3-Pack,129.99,120,White / Silver,"250,2000",64.5,29.2,true
Thermalright TL-M,9.59,120,White,1500,47.6,23.2,true
Thermalright TL-C12B-S V3,6.79,120,Black,1500,66.17,25.6,true
Noctua F12 PWM chromax.black.swap,26.95,120,Multicolor,"300,1500",54.97,22.4,true
Noctua P14s redux-1500 PWM,17.95,140,Black / Gray,"450,1500",78.69,25.8,true
Lian Li UNI FAN SL Wireless LCD 3-Pack,133.99,120,White,"350,1900",51.45,31,true
Noctua A9x14 HS-PWM chromax.Black.swap,23.95,92,Black / Multicolor,"600,2500",33.84,23.6,true
Thermalright TL-C12B-S V3 X3 3-Pack,14.59,120,Black,1500,66.17,25.6,true
Thermalright TL-M12W-S,8.39,120,White,1500,47.6,23.2,true
Thermalright TL-C-C-S,7.9,140,White,1500,75.8,26.4,true
Phanteks D30-120 Reversed 3-Pack,114.99,120,Black,"250,2000",61.5,31.8,true
Corsair iCUE LINK LX120 RGB 3-Pack,114.95,120,White,"400,2400",,"10,36",true
Lian Li UNI FAN SL Wireless LCD 3-Pack,129.99,120,Black,"350,1900",50.08,29.5,true
Asus TUF Gaming TR120 ARGB 3-Pack,62.99,120,Black,2000,77.4,29,true
Thermaltake CT120 EX Reverse ARGB Sync 3-Pack,59.99,120,Black,"500,2000",65.82,31.2,true
Corsair iCUE LINK QX140 RGB Starter Kit 2-Pack,117.99,140,Black,"400,2000","12.1,82.5",,true
Corsair iCUE LINK RX120 MAX RGB Starter Kit 3-Pack,129.99,120,Black,"400,2000","16.3,71.3","10,29.5",true
be quiet! Silent Wings 4,27.9,140,Black,1100,51.3,13.6,true
Thermalright TL-C12RW-S V2,6.99,120,Black / White,1500,58,25.6,true
ARCTIC P12 PWM PST A-RGB 0dB 3-Pack,69.82,120,White / Gray,,48.8,,true
Lian Li UNI FAN SL-INF Wireless 3-Pack,104.99,120,Black,"200,2300",67,29.2,true
ARCTIC P12,8.49,120,Black,1800,56.3,,false
Thermalright TL-K12R,10.9,120,Black,2150,69,27,true
Phanteks PH-F120T30 3-Pack,114.99,120,Black / Gray,,"0,101","0,39.7",true
ARCTIC P14 Max 5-Pack,,140,Black,"400,2800",95,,true
Lian Li UNI FAN SL V2 3-Pack,,120,Black / Silver,"250,2000",64.5,29.2,true
Noctua A8 PWM,17.95,80,Brown,"450,2200","25.84,32.66","13.8,17.7",true
Corsair RS140 ARGB,24.99,140,Black,"330,1700","14.6,95.5","10,36",true
be quiet! Pure Wings 3,12.9,120,Black,2100,59.6,30.9,true
Lian Li UNI FAN SL V2 120 Reverse,,120,White,"250,2000",65.4,32,true
Corsair RS120 3-Pack,34.99,120,White,"420,2100","13.3,72.8","10,36",true
Montech RX120,,120,Black,"800,1600",59,27,true
Lian Li UNI FAN TL LCD 120 Reverse Blade 3-Pack,,120,White,,83.4,34,true
NZXT F120 RGB DUO 3-Pack,91.2,120,Black,"500,1800",48.58,29,true
Lian Li UNI FAN CL Wireless 3-Pack,54.99,120,Black,"250,2150",77.34,29.8,true
Corsair LL120 3-Pack,145.57,120,White,2200,63,36,true
NZXT F120 RGB DUO,32.33,120,Black,"500,1800",48.58,29,true
Phanteks M25G2-120 3-Pack,19.98,120,Black,"350,2000",72.72,35.13,true
Thermalright TL-C12CW,6.9,120,White,1550,66.17,25.6,true
Corsair LL120,24.99,120,Black,"600,1500",43.25,24.8,true
Thermalright TL-S12W X3 3-Pack,15.59,120,White,1500,47.6,23.2,true
Thermalright TL-K12,11.59,120,Black,2150,69,27,true
Lian Li UNI FAN TL Wireless 3-Pack,99.99,120,White,"200,2600",90.1,33,true
NZXT F RGB Core,31.94,140,Black,"500,1800","24.85,89.48","20,32.5",true
Phanteks M25G2-120 D-RGB 3-Pack,39.98,120,White,"350,2000",72.72,35.13,true
NZXT F140Q (2024),18.67,140,Black,"500,1500",102.9,29.8,true
NZXT F RGB Core 2-Pack,71.71,140,Black,"500,1800","24.85,89.48","20,32.5",true
Asiahorse FS-N001 3-Pack,,120,White,"800,1500",,,true
be quiet! Light Wings LX 3-Pack,57.9,120,Black,2100,61.8,30.9,true
Thermalright TL-S12,7.79,120,Black,1500,47.6,23.2,true
NZXT F120Q (2024),17.98,120,White,"500,1700",74.26,25.1,true
Lian Li UNI FAN SL V2,49.99,140,White / Silver,"250,1600",77.6,29,true
ARCTIC P12,9.49,120,Black / Transparent,"200,1800",56.3,22.5,true
Corsair RS140 2-Pack,34.99,140,Black,"330,1700","14.6,95.5","10,36",true
be quiet! Light Wings PWM high-speed 3-Pack,79.9,140,Black,2200,71.7,31,true
Fractal Design Aspect 14 PWM,19.98,140,Black,"500,1700","20,78","10,35.5",true
Corsair iCUE LINK RX140 2-Pack,89.99,140,Black / White,1700,"18.1,95.7","10,36",false
ARCTIC P14 PWM PST A-RGB 3-Pack,,140,Black,,"0,68",,true
ID-COOLING AF-125 3-Pack,29.99,120,Black,"500,2000",78.25,29.85,true
be quiet! Silent Wings 4,26.9,120,Black,1600,48.7,18.9,true
Corsair iCUE LINK LX140-R RGB 2-Pack,119.99,140,Black,2000,90,35.4,true
Phanteks D30-120,43.98,120,Black,"250,2000",64.3,30.2,true
Lian Li UNI FAN SL Wireless LCD 3-Pack,133.99,120,Black,"350,1900",51.45,31,true
Lian Li UNI FAN TL LCD Wireless 3-Pack,140.99,120,Black,"350,1900",62,27,true
Silverstone Air Penetrator,32.89,180,Black,"700,1200","80,130","18,34",false
NZXT F120 RGB Core 3-Pack,102.38,120,White,"500,1800",78.86,33.88,true
Phanteks D30-120 3-Pack,107.68,120,Black,"250,2000",64.3,30.2,true
NZXT F140P (2024),19.29,140,Black,"500,1700",93.2,30,true
Phanteks M25G2-140 D-RGB Reverse 3-Pack,39.99,140,Black,"350,1800",100.07,40.95,true
Lian Li UNI FAN TL 120 Reverse Blade 3-Pack,,120,Black,"200,2300",83.4,34,false
MSI MPG EZ120 3-Pack,119.99,120,Black,,"0,73.82","0,28.82",true
Thermaltake SWAFAN EX12 ARGB 3-Pack,61.49,120,Black,"500,2000","56.26,57.11","30.6,32.5",true
Thermalright TL-S12R,,120,Black,1500,47.6,23.2,true
NZXT F120 RGB Core 3-Pack,113.91,120,Black,"500,1800",78.86,33.88,true
ARCTIC F12 PST 5-Pack,,120,Black,"230,1350",53,22.5,true
Noctua S12A PWM chromax.black.swap,26.95,120,Multicolor,"300,1200",63.27,17.8,true
Phanteks M25-120 PWM D-RGB,22.99,120,Black,"500,2000",84.26,35.7,true
Corsair RS140 ARGB 2-Pack,49.99,140,Black,"330,1700","14.6,95.5","10,36",true
ARCTIC P PST,,140,White,"200,1900",68.9,22.5,true
BGears b-Blaster,35.99,140,Black,5200,308,70,false
Corsair LL120 3-Pack,,120,Black,"600,1500",43.25,24.8,true
Lian Li UNI FAN TL Wireless 3-Pack,101.99,120,White,"200,2300",83.4,34,true
Phanteks D30-120 Reversed 3-Pack,114.99,120,White,"250,2000",61.5,31.8,true
Montech RX120,12.9,120,White,"800,1600",59,27,true
Thermaltake CT120 ARGB Sync 2-Pack,34.99,120,Black,"500,2000",57.05,25.8,true
Corsair RS120-R 3-Pack,59.99,120,Black,"420,2100","13.33,65.82","10,34.6",true
Lian Li UNI FAN SL V2,,140,Black / Silver,"250,1600",77.6,29,true
ARCTIC S12038-8K,15.99,120,Black,"800,8000",220,,true
Cooler Master SickleFlow 3-Pack,62.99,120,Black,"650,1800",62,"8,27",true
ARCTIC P12 Silent,9.99,120,Black,1050,24.1,,false
Phanteks M25G2-140 D-RGB 3-Pack,39.98,140,Black,"350,1800",101.78,36.4,true
Montech AX120,12.9,120,White,"800,1600",59,27,true
Thermalright TL-S12W,6.99,120,White,1500,47.6,23.2,true
Noctua R8 redux-1800 PWM,13.95,80,Black / Gray,"325,1800",31.37,17.1,true
Lian Li UNI FAN TL LCD Wireless 3-Pack,147.99,120,White,"350,1900",62,27,true
Noctua A20 PWM chromax.black.swap,39.95,200,Black / Multicolor,"350,800",86.46,18.1,true
Asus ROG STRIX XF,29.99,120,Black,1800,62.5,22.5,true
Corsair RS140 ARGB 2-Pack,49.99,140,White,"330,1700","14.6,95.5","10,36",true
be quiet! Light Wings LX,22.9,120,Black,1500,48.8,28.5,true
Deepcool FK120 3-Pack,,120,Black,"500,1850",68.99,28,true
ARCTIC F12 PST,13.33,120,Black,"230,1350",53,22.5,true
Phanteks M25G2-120,19.71,120,Black,"350,2000",72.72,35.13,true
Corsair iCUE LINK QX140 RGB Starter Kit 2-Pack,125.99,140,White,"400,2400","12.1,82.5",,true
ARCTIC P14 Slim PWM PST,12.99,140,Black,"150,1800",52,,true
Lian Li UNI FAN TL LCD 120 3-Pack,136.99,120,Black,,90.1,33,true
NZXT F RGB Core,29.99,140,White,"500,1800","24.85,89.48","20,32.5",true
Lian Li UNI FAN SL-INF Wireless 3-Pack,104.99,120,White,"200,2300",67,29.2,true
be quiet! Light Wings,34.9,140,Black,1300,51.37,25.5,true
Lian Li UNI FAN TL 120 3-Pack,163.08,120,White,"200,2600",90.1,33,false
Deepcool FL12 3-Pack,,120,Black,"500,2150",55,32,true
Thermaltake SWAFAN EX12 ARGB 3-Pack,79.98,120,White,"500,2000","56.26,57.11","30.6,32.5",true
ARCTIC P12 5-Pack,32.99,120,Black,1800,56.3,,false
Asus TUF Gaming TF120 ARGB 3-Pack,59.99,120,Black / White,"250,1900",76,29,true
Noctua S12B redux-1200 PWM,16.95,120,Black / Gray,"400,1200",59.1,18.1,true
ARCTIC P12 PWM PST A-RGB 0dB,35.65,120,White / Gray,,48.8,,true
Cooler Master MasterFan MF120 Halo² 3in1 3-Pack,54.99,120,Black,"1,2050",51.88,27,true
Corsair iCUE SP120 RGB ELITE 3-Pack,,120,Black / White,"400,1500",,,true
Lian Li UNI FAN SL V2,,120,White / Silver,"250,2000",64.5,29.2,true
ARCTIC P14,10.99,140,Black,1700,72.8,22.5,false
NZXT F120 RGB,24.99,120,White,"500,1800","13.94,50.18","17.2,27.5",true
Corsair iCUE QL120 3-Pack,70.23,120,Black,1500,41.8,26,true
ARCTIC P14 PST,12.99,140,White,"200,1700",72.8,22.5,true
Noctua A14 industrialPPC-2000 PWM,32.95,140,Brown / Black,"500,2000",107.41,31.5,true
Corsair iCUE LINK LX140 RGB 2-Pack,99.99,140,Black,"350,2000","10.74,84.7","10,36",true
Phanteks PH-F140D30R 3-Pack,118.25,140,Black,"250,1800",71.76,32.1,true
Lian Li UNI FAN CL Wireless 3-Pack,54.99,120,Black,"250,2100",72.3,30.8,true
Noctua F12 industrialPPC-2000 PWM,29.95,120,Brown / Black,"450,2000",71.69,29.7,true
Corsair iCUE AF120 RGB SLIM 2-Pack,56.98,120,Black,"600,2000","13.4,56.3",27.5,true
Corsair iCUE SP120 RGB ELITE,,120,Black / White,"400,1500",,,true
ARCTIC P14 Max,18.98,140,White,"400,2800",95,,true
Thermalright TL-E12B-S V3,9.28,120,Black,2000,72.37,27.7,true
Noctua A9 PWM chromax.black.swap,23.95,92,Black / Multicolor,"400,2000",46.44,22.8,true
NZXT F120 RGB DUO 3-Pack,91.95,120,White,"500,1800",48.58,29,true
Corsair iCUE LINK LX140-R RGB 2-Pack,119.99,140,White,2000,90,35.4,true
Fractal Design Aspect 12 RGB PWM,26.64,120,Black,"500,2000","13,56","10,33.2",true
ARCTIC S12038-8K 3-Pack,45.99,120,Black,"800,8000",220,,true
Phanteks D30-120 Reversed,44.98,120,Black,"250,2000",61.5,31.8,true
Thermalright TL-E12W-S V3,9.89,120,White,2000,72.37,27.7,true
Lian Li UNI FAN TL 120 Reverse Blade 3-Pack,,120,White,"200,2300",83.4,34,false
NZXT F140 RGB 2-Pack,64.04,140,Black,"500,1800","24.85,89.48","20,32.5",true
NZXT F140Q (2024),16.98,140,White,"500,1500",102.9,29.8,true
be quiet! Pure Wings 2,10.9,80,Black,"450,1900",26.3,19.2,true
Thermalright TL-C14CW,7.9,140,White,1500,75.8,26.4,true
ARCTIC P12 PST CO,11.99,120,Black,"200,1800",56.3,,true
be quiet! Pure Wings 3 PWM,12.9,120,White,1600,,25.5,true
ID-COOLING AF-ARGB-K 3-Pack,39.99,120,Black,"500,2000",78,29.9,true
Thermaltake CT120 2-Pack,24.99,120,Black,"500,2000",57.05,25.8,true
Corsair iCUE AF120 RGB ELITE 3-Pack,,120,Black,"550,2100","13.8,65.57","5,34.1",true
Noctua P14s redux-1200 PWM,17.95,140,Black / Gray,"350,1200",64.92,19.6,true
Phanteks D30-120,39.99,120,White,"250,2000",64.3,30.2,true
ID-COOLING XF-12025-ARGB-TRIO 3-Pack,22.49,120,Black / White,"700,1500",62,"18,26.4",true
Lian Li UNI FAN TL LCD 120 3-Pack,99.99,120,White,,90.1,33,true
Lian Li UNI FAN SL Wireless LCD 3-Pack,134.99,120,White,"350,1900",50.08,29.5,true
NZXT F140 RGB 2-Pack,60.3,140,White,"500,1800","24.85,89.48","20,32.5",true
Lian Li UNI FAN AL120 V2 3-Pack,142.59,120,White,"250,2000",77.3,28.7,true
Lian Li UNI FAN P28,,120,Black,"200,2600","44.94,92","20.4,32.1",true
Noctua A9 PWM,18.95,92,Brown,"400,2000","36.84,46.44","16.3,22.8",true
Corsair RS120-R 3-Pack,59.99,120,White,"420,2100","13.33,65.82","10,34.6",true
Thermalright TL-B12 EXTREM,13.59,120,Black / Red,3150,112,40.5,true
Noctua A20 PWM,35.95,200,Brown,"350,800","59.33,86.46","10.7,18.1",true
be quiet! Light Wings PWM high-speed,29.9,120,Black,2500,52.3,31,true
Lian Li UNI FAN CL Wireless 3-Pack,54.99,120,White,"250,2150",77.34,29.8,true
Corsair iCUE LINK RX120 3-Pack,83.69,120,Black,2100,"10.5,74.2","10,36",false
ARCTIC P8 Slim PWM PST,7.99,80,Black,"300,3000",22.5,,true
Thermalright TL-K12RW,11.9,120,White,2150,69,27,true
Montech Metal Pro 3-Pack,46.99,120,Black,"600,2200",76.2,29.1,true
Phanteks M25G2-140 3-Pack,36.98,140,Black,"350,1800",101.78,36.4,true
be quiet! Silent Wings 4,39.9,140,Black,1900,78.4,29.3,true
Noctua P12 redux-1300 PWM,15.45,120,Gray,"300,1300",54.32,19.8,true
Antec P12R,,120,Black,"600,1500","55.31,61.46","14.2,29.5",true
Cooler Master MasterFan MF Halo,19.98,120,Black,"650,1800",47.2,"6,30",true
Corsair RS140 ARGB,24.99,140,White,"330,1700","14.6,95.5","10,36",true
be quiet! Light Wings PWM high-speed,29.9,140,Black,2200,71.7,31,true
Noctua S12A PWM,21.95,120,Brown,"300,1200",,"10.7,17.8",true
ARCTIC F12 5-Pack,22.99,120,Black,1350,53,22.5,false
Thermalright TL-E12B V3,7.39,120,Black,2000,72.37,27.7,true
Thermaltake CT120 EX ARGB Sync 3-Pack,55.99,120,Black,"500,2000",68,28.5,true
Fractal Design Aspect 12 PWM,,120,Black,"500,2000","13,56","10,33.2",true
Phanteks M25G2-140 D-RGB Reverse 3-Pack,39.99,140,White,"350,1800",100.07,40.95,true
Phanteks D30-120 3-Pack,114.99,120,White,"250,2000",64.3,30.2,true
Asus TUF Gaming TF120 ARGB,22.99,120,Black / White,"250,1900",76,29,true
Noctua A4x20 PWM,15.95,40,Brown,"1200,5000","4.89,5.53","12.2,14.9",true
Lian Li UNI FAN P28 3-Pack,,120,Black,"200,2600","44.94,92","20.4,32.1",true
Thermaltake TOUGHFAN 2-Pack,38.99,140,Black,"500,2000",119.1,"25.2,33.2",true
be quiet! Light Wings LX,22.9,120,White,1500,48.8,28.5,true
Thermalright TL-M12Q X3 3-Pack,,120,Black,2000,68.9,28.2,true
Vetroo ARGB120 3-Pack,29.99,120,Pink,1300,48.1,,true
Thermaltake CT120 EX Reverse ARGB Sync 3-Pack,64.98,120,White,"500,2000",65.82,31.2,true
Phanteks M25-140 PWM D-RGB,8.98,140,White,"500,1800",104.62,36.57,true
NZXT F120 RGB DUO,31.15,120,White,"500,1800",48.58,29,true
ARCTIC P14 PST CO,13.99,140,Black,"200,1700",72.8,22.5,true
Fractal Design Aspect 14 RGB PWM,29.4,140,Black,"500,1700","20,78","10,35.5",true
Montech AX,15.99,140,Black,"600,1600",90.5,27.9,true
Cooler Master SickleFlow,19.98,120,Black,"650,1800",62,"8,27",true
Asus TUF GAMING TF120 ARGB White 3in1 3-Pack,56.97,120,White,"250,1900",76,29,true
be quiet! Light Wings PWM 3-Pack,69.9,120,Black,1700,41.51,20.6,true
Corsair iCUE LINK RX140 2-Pack,79.98,140,White,1700,"18.1,95.7","10,36",false
Noctua A8 PWM chromax.black.swap,,80,Black / Multicolor,"450,2200",32.67,17.7,true
Asus TUF Gaming TR120 ARGB,62.99,120,Black,2000,77.4,29,true
ARCTIC F12,9.99,120,Black,1350,53,22.5,false
be quiet! Pure Wings 3 PWM High-Speed,12.9,120,White,2100,59.6,30.9,true
Phanteks PH-F140D30,39.99,140,Black,"250,1800",71.93,29.5,true
Deepcool FC120,,120,Black,"500,1800",,,true
Thermalright TL-K12,11.9,120,White,2150,69,27,true
be quiet! Pure Wings 3,12.9,140,Black,1800,72.2,30.5,true
be quiet! Pure Wings 2,,120,Black,"500,1500","51.4,87",20.2,true
GAMDIAS AEOLUS P2 3-Pack,49.99,120,Black,"1000,2400",74.97,,true
Thermalright TL-P12W-S,6.9,120,White,1500,52.86,22.1,true
Fractal Design Aspect 12 RGB PWM 3-Pack,70.33,120,Black,"500,2000","13,56","10,33.2",true
be quiet! Shadow Wings 2,16.89,120,Black,1100,38.5,15.9,true
Phanteks M25-140 PWM D-RGB 3-Pack,19.98,140,White,"500,1800",104.62,36.57,true
Thermaltake CT140 EX Reverse ARGB Sync 3-Pack,74.98,140,Black,"500,1800",94.95,32.8,true
Corsair RS120,14.99,120,White,"420,2100","13.3,72.8","10,36",true
Phanteks D30-120 Reversed,38.98,120,White,"250,2000",61.5,31.8,true
Lian Li UNI FAN CL Wireless 3-Pack,54.99,120,White,"250,2100",72.3,30.8,true
Corsair RS140 2-Pack,34.99,140,White,"330,1700","14.6,95.5","10,36",true
Fractal Design Aspect 14 RGB PWM 3-Pack,59.4,140,Black,"500,1700","20,78","10,35.5",true
be quiet! Silent Wings Pro 4,50,120,White,3000,83.9,36.9,true
Lian Li UNI FAN AL120 V2 3-Pack,,120,Black,"250,2000",77.3,28.7,true
NZXT F RGB Core 2-Pack,,140,White,"500,1800","24.85,89.48","20,32.5",true
NZXT F120 RGB,24.99,120,Black,"500,1800","13.94,50.18","17.2,27.5",true
Thermaltake CT ARGB Sync,24.99,200,Black,"500,900",131.6,27.2,true
Corsair AF120 ELITE,,120,Black,"400,1850","10.9,59.1",31.5,true
