name,price,style,switches,backlit,tenkeyless,connection_type,color
Razer Huntsman V3 Pro,219.99,Gaming,Razer Analog Optical Switch Gen-2,RGB,true,Wired,Black
Logitech G213 PRODIGY,49.99,Gaming,,RGB,false,Wired,Black
HP HyperX Alloy Origins Core,79.98,Gaming,HyperX Red,RGB,true,Wired,Black
Logitech G512 CARBON,99.99,Gaming,GX Brown,RGB,false,Wired,Black
SteelSeries Apex Pro TKL (2023),164.36,Gaming,SteelSeries OmniPoint 2.0,RGB,true,Wired,Black
Microsoft WTA-00001,765,Ergonomic,,,false,Wireless,Black / Silver
Razer DeathStalker V2 Pro,249.99,Gaming,Razer Purple Low-Profile Optical Clicky,RGB,false,"Wired, Wireless, Bluetooth Wireless",White
Razer Huntsman V2,99.99,Gaming,Razer Red Optical Linear,RGB,true,Wired,Black
Corsair K95 RGB PLATINUM,219,Gaming,Cherry MX Speed Silver,RGB,false,Wired,Black
Corsair K70 RGB PRO,179.99,Gaming,Corsair OPX,RGB,false,Wired,White
Corsair K60 RGB Pro,,Gaming,Cherry Viola,RGB,false,Wired,Black
Cooler Master SK620,24.99,Gaming,TTC Blue,RGB,true,Wired,Gray / Black
Redragon DEVARAIAS K556 RGB,59.99,Gaming,Outemu Brown,RGB,false,Wired,Black
Razer Huntsman Mini,90.99,Mini,Razer Purple Optical Clicky,RGB,true,Wired,Black
Cherry MX 10.0N,460.62,Slim,Cherry MX Low Profile Speed Silver,RGB,false,Wired,Black
Corsair K65 PLUS,129.99,Gaming,Corsair MLX Red Linear,RGB,true,"Wired, Wireless",Black
Keychron C2,78.98,Standard,Gateron G Pro Brown Hot-swappable,White,false,Wired,Black / White
Corsair K65 60%,103.96,Mini,Cherry MX Speed Silver,RGB,true,Wired,Black
RK Royal Kludge RK61,49.99,Mini,RK Blue,White,true,"Wired, Wireless, Bluetooth Wireless",White
Razer Ornata V3 X,34.97,Gaming,,RGB,false,Wired,Black
Logitech G613,79.99,Standard,Romer-G Tactile,,false,Wireless,Black
Logitech G915 TKL,173,Gaming,GL Tactile,RGB,true,"Wired, Wireless, Bluetooth Wireless",White / Silver
Razer BlackWidow V3 Mini HyperSpeed,107.74,Gaming,Razer Green,RGB,true,Wireless,Black
SteelSeries Apex Pro Mini Wireless,189.99,Gaming,SteelSeries OmniPoint 2.0,RGB,true,"Wireless, Bluetooth Wireless",Black
HP HyperX Alloy Origins Core,79.98,Gaming,HyperX Aqua,RGB,true,Wired,Black
Logitech G512 CARBON,88.99,Gaming,Romer-G Tactile,RGB,false,Wired,Black
Logitech MK200,17.27,Slim,,,false,Wired,Black
DROP CTRL,340.17,Gaming,Cherry MX Brown,RGB,true,Wired,Silver / Black
Redragon S101,39.99,Gaming,,,false,Wired,Black / Red
Asus ROG CLAYMORE II,243.99,Gaming,ROG RX Blue Optical,RGB,false,Wireless,Black
Happy Hacking Professional 2,,Standard,Topre 45g,,true,Wired,White
Razer Huntsman V3 Pro Mini,179.99,Mini,Razer Analog Optical Switch Gen-2,RGB,true,Wired,Black
Keychron Q1 Pro,199.99,Standard,Keychron K Pro Red,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
Corsair K55 RGB PRO XT,79.99,Gaming,,RGB,false,Wired,Black
Razer BlackWidow Lite,49.95,Gaming,Razer Orange,White,true,Wired,Black
Logitech G19s,699.06,Gaming,,,false,Wired,Black
Razer Huntsman Mini,89,Mini,Razer Red Optical Linear,RGB,true,Wired,White
Logitech Wireless Combo MK270,22.99,Standard,,,false,Wireless,Black
Keychron K2 V2 Aluminum,99.99,Standard,Gateron G Pro Brown,RGB,true,Wireless,Black / Gray
Logitech PRO X,179.99,Gaming,Logitech GX Blue Clicky,RGB,true,"Wired, Wired, Wireless, Bluetooth Wireless",Black
Corsair K65 RGB MINI,109.99,Mini,Cherry MX Brown,RGB,true,Wired,Black
Corsair K65 RGB MINI,79.99,Mini,Cherry MX Speed Silver,RGB,true,Wired,White
Logitech K400 Plus,26.99,Mini,,,true,Wireless,Black / Yellow
SteelSeries Apex 3,49.99,Gaming,,RGB,false,Wired,Black
Corsair K70 PRO MINI,107.98,Mini,Cherry MX Red,RGB,true,"Wired, Wireless, Bluetooth Wireless",White
Whirlwind FX Element V2,34.99,Gaming,Gateron Red,RGB,false,Wired,Black
MSI Vigor GK30,34,Gaming,,RGB,false,Wired,Black
RK Royal Kludge RK61,49.99,Mini,RK Brown,White,true,"Wired, Wireless, Bluetooth Wireless",White
Logitech G815 Lightsync RGB,167.99,Gaming,GL Tactile,RGB,false,Wired,Black
Razer BlackWidow V3,89.99,Gaming,Razer Yellow,RGB,true,Wired,Black
Corsair K95 RGB PLATINUM,297.47,Gaming,Cherry MX Speed Silver,RGB,false,Wired,Gunmetal
Wooting One,,Gaming,Flaretech Red,RGB,true,Wired,Black
Razer BlackWidow V4 75%,185.51,Mini,Razer Orange,RGB,true,Wired,Black
Asus ROG Strix Flare II Animate,179.99,Gaming,ROG NX Red,RGB,false,Wired,Black
Ducky One 2 Mini,,Standard,Cherry MX Brown,RGB,true,Wired,White / Black
MSI Vigor GK30,54.99,Gaming,,RGB,false,Wired,White
MSI VigorGK30W,63.05,Gaming,,RGB,false,Wired,White
Logitech G510s,613.98,Gaming,,Multicolor,false,Wired,Black
Corsair K70 RGB MK.2,278,Gaming,Cherry MX Brown,RGB,false,Wired,Black
Logitech G915 TKL,158.19,Gaming,GL Linear,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
Razer Huntsman V2 Analog,109.99,Gaming,Razer Analog Optical,RGB,false,Wired,Black
Razer Blackwidow V3 - Quartz,139.99,Gaming,Razer Green,RGB,false,Wired,Pink
Logitech G915 Lightspeed,169.99,Gaming,Logitech GL Linear,RGB,false,Wireless,Black
SteelSeries Apex 7,148,Gaming,SteelSeries QX2 Red,RGB,false,Wired,Black
HP HyperX Alloy Elite 2,128.94,Gaming,HyperX Red,RGB,false,Wired,Black
Cooler Master SK620,29.99,Gaming,TTC Red,RGB,true,Wired,Gray / Black
Corsair K70 CORE,79.59,Gaming,Corsair MLX Red Linear,RGB,false,Wired,Black
E-element Z88RGB81WRZ,34.99,Mini,Outemu Blue,Multicolor,true,Wired,White
Razer BlackWidow V4 75%,189.99,Mini,Razer Orange,RGB,true,Wired,White
Logitech G710 Plus,274.85,Gaming,Cherry MX Brown,White,false,Wired,Black
AmazonBasics KU-0833 +MSU0939,20.83,Standard,,,false,Wired,Black
Corsair K55 CORE RGB,39.99,Gaming,,RGB,false,Wired,Black
ROCCAT Vulcan 121 Aimo RGB,39.99,Gaming,Roccat Titan Red,RGB,false,Wired,Black
Corsair K68 RGB,169,Gaming,Cherry MX Red,RGB,false,Wired,Black
SteelSeries Apex Pro TKL (2023),,Gaming,SteelSeries OmniPoint 2.0,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
SHARKOON Skiller,,Gaming,,,false,Wired,Black
Razer Cynosa Lite,28.64,Gaming,,RGB,false,Wired,Black
Corsair K70 PRO MINI,98.13,Mini,Cherry MX Red,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
Logitech K120 - UK Layout,,Standard,,,false,Wired,Black
Redragon K512 SHIVA RGB,36.99,Gaming,,RGB,false,Wired,Black
Cooler Master SK620,24.95,Gaming,TTC Red,RGB,true,Wired,Silver / White
NZXT Function 2,109.99,Gaming,NZXT Swift Optical 40g,RGB,false,"Wired, Wired",White
Keychron C1 Pro V1,59.99,Standard,Keychron K Pro Red,White,true,Wired,Black / Gray
Razer Huntsman Tournament Edition,,Gaming,Razer Red Optical Linear,RGB,true,Wired,Black
Logitech MX Mechanical,164.97,Slim,Kailh Choc V2 Brown,White,false,Wireless,Gray / Black
Asus ROG Falchion Ace,89.99,Gaming,ROG NX Red,RGB,true,Wired,White
HP HyperX Alloy Origins 60,99.99,Gaming,HyperX Red,RGB,true,,Black
Corsair STRAFE RGB,249.99,Gaming,Cherry MX Silent,RGB,false,Wired,Black / White
Razer Cynosa V2,39.99,Gaming,,RGB,false,Wired,Black
Logitech G915 Lightspeed,,Gaming,Logitech GL Tactile,RGB,false,"Wireless, Bluetooth Wireless",Black
Corsair K57 RGB,109.99,Gaming,,RGB,false,Bluetooth Wireless,Black
HP HyperX Alloy Origins,89.99,Gaming,HyperX Red,RGB,false,Wired,Black
Logitech MK235,23.99,Standard,,,false,Wireless,Black
Corsair K60 Pro,79.98,Gaming,Corsair OPX,RGB,true,Wired,Black
Razer BlackWidow V3,99.99,Gaming,Razer Green,RGB,false,Wired,Black
HP 150,10.99,Standard,,,false,Wired,Black
Corsair K70 RGB TKL CHAMPION SERIES,144.66,Gaming,Cherry MX Speed Silver,RGB,true,Wired,Black
SteelSeries Apex 5,91.99,Gaming,,RGB,false,Wired,Black
Dell KB216,16,Slim,,,false,Wired,Black
Razer Ornata Chroma,124.97,Gaming,,RGB,false,Wired,Black
Logitech G213,49.99,Gaming,,RGB,false,Wired,Black
HP 320MK,13,Standard,,,false,Wired,Black
Logitech G915 Lightspeed,189.99,Gaming,Logitech GL Clicky,RGB,false,Wireless,Black
Logitech G Pro,129.99,Gaming,Romer-G Tactile,RGB,true,Wired,Black
Kinesis Gaming KB600,339,Ergonomic,Cherry MX Brown,,true,Wired,Black / Blue
Corsair Vengeance K70,,Gaming,Cherry MX Red,Red,false,Wired,Black
AOC AGK700,40.99,Gaming,Cherry MX Red,RGB,false,Wired,Black / Red
Logitech MX Keys Advanced,,Slim,,White,false,Wireless,Black
Logitech G810 Orion Spectrum RGB,308.98,Gaming,Romer-G Tactile,RGB,false,Wired,Black
Razer Ornata V3,59.99,Gaming,,RGB,true,Wired,Black
SteelSeries Apex 3,35.5,Gaming,,RGB,true,Wired,Black
Keychron K10 Pro QMK/VIA,114.99,Standard,Keychron K Pro Brown,RGB,false,"Wired, Bluetooth Wireless",Black / Gray
Logitech G910 Orion Spectrum RGB,285,Gaming,Romer-G Tactile,RGB,false,Wired,Black
Thermaltake Commander Combo V2,33.99,Gaming,,Multicolor,false,Wired,Black
Asus ROG Strix Scope,99.99,Gaming,ROG NX Red,RGB,true,Wired,White / Gray
Logitech MK120,23.98,Slim,,,false,Wired,Black
RK Royal Kludge RK61,49.99,Mini,RK Brown,White,true,"Wired, Wireless, Bluetooth Wireless",Black
Glorious GMMK,,Gaming,Gateron Brown,RGB,true,Wired,Black
Keychron K3 V2 Ultra-slim,99.99,Standard,Keychron Optical Brown Low Profile (Hot-Swappable),RGB,true,"Wired, Wired, Bluetooth Wireless",Black / Gray
Cooler Master CK721,64.98,Gaming,TTC Red,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black / Gray
Logitech K845,53.99,Standard,TTC Red,White,false,Wired,Black
Redragon K552-R KUMARA,,Gaming,Outemu Blue,RGB,true,Wired,Black
Logitech G715,179.99,Gaming,GX Red,RGB,true,"Wired, Wireless, Bluetooth Wireless",White
Corsair K70 CORE w/Palmrest,104.65,Gaming,Corsair MLX Red Linear,RGB,false,Wired,Black
Logitech G413 SE,,Gaming,Kailh LT Brown,White,false,Wired,Black
Logitech G610,119.99,Gaming,Cherry MX Red,White,false,Wired,Black
Redragon K551-RGB VARA,56.35,Standard,Outemu Blue,RGB,false,Wired,Black
Corsair K70 RGB PRO,129.99,Gaming,Cherry MX Brown,RGB,false,Wired,Black
MSI VIGOR,23.99,Gaming,,RGB,false,Wired,Black / Gray
SteelSeries Apex 9 Mini,123.99,Gaming,SteelSeries OptiPoint Linear,RGB,true,Wired,Black
Ducky Ducky One 2 SF RGB,,Gaming,Cherry MX Black,RGB,true,Wired,Black
Corsair STRAFE RGB MK.2,183,Gaming,Cherry MX Red,RGB,false,Wired,
Cooler Master SK620,24.99,Gaming,TTC Blue,RGB,true,Wired,Silver / White
Logitech PRO X,192.12,Gaming,Logitech GX Red Linear,RGB,true,,Black
Razer Huntsman V2,129.99,Gaming,Razer Red Optical Linear,RGB,false,Wired,Black
Asus ROG Azoth,249.99,Mini,ROG NX Blue,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
Razer DeathStalker V2 Pro,219.78,Gaming,Razer Red Low-Profile Optical Linear,RGB,true,Wireless,Black
Razer Huntsman Elite,179.98,Gaming,Razer Red Optical Linear,RGB,false,Wired,Black
Keychron C2,65.98,Standard,Gateron G Pro Brown,White,false,Wired,Black / White
Razer Ornata V3,63.99,Gaming,,RGB,false,Wired,Black
Logitech G715,134.99,Gaming,GX Blue,RGB,true,"Wired, Wireless, Bluetooth Wireless",White
Razer Huntsman Mini Analog,113.99,Mini,Razer Analog Optical,RGB,true,Wired,Black
RK Royal Kludge RK61,49.99,Mini,RK Blue,White,true,"Wired, Wireless, Bluetooth Wireless",Black
Logitech MX 5500 Revolution,756.87,Standard,,,false,Wireless,Black
Razer DeathStalker V2 Pro,249.99,Gaming,Razer Red Low-Profile Optical Linear,RGB,false,Wireless,Black
Asus ROG Azoth,249.99,Mini,ROG NX Brown,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
Verbatim 70734,13.99,Standard,,,false,Wired,Black
Corsair K55 RGB,89,Gaming,,RGB,false,Wired,Black
Das Keyboard Model S Professional,129,Standard,Cherry MX Brown,,false,Wired,Black
Corsair K100 RGB,219.99,Gaming,Cherry MX Speed Silver,RGB,false,Wired,Black
GMMK Glorious Modular Mechanical Gaming Keyboard,,Gaming,Gateron Brown,RGB,true,Wired,Black
Corsair K95 RGB PLATINUM XT,,Gaming,Cherry MX Speed Silver,RGB,false,Wired,Black
Corsair K70 PRO MINI,107.99,Mini,Cherry MX Speed Silver,RGB,true,"Wired, Wireless, Bluetooth Wireless",White
Razer Huntsman Elite,,Gaming,Razer Purple,RGB,false,Wired,Black
SteelSeries Apex 9 TKL,95.95,Gaming,SteelSeries OptiPoint Linear,RGB,true,Wired,Black
Thermaltake POSEIDON Z,75.04,Gaming,Kailh Blue,Blue,false,Wired,Black
Asus ROG Strix Scope RX EVA-02 Edition,259.99,Gaming,ROG RX Red Optical,RGB,false,Wired,Red / Black
Corsair K100 RGB,249.99,Gaming,Corsair OPX,RGB,false,Wired,Gold / Black
Razer Huntsman V2,149.99,Gaming,Razer Purple Optical Clicky,RGB,false,Wired,Black
Logitech G513 Carbon,128.49,Gaming,GX Red,RGB,false,Wired,Black
Corsair K60 RGB Pro SE,100.9,Gaming,Cherry Viola,RGB,false,Wired,Black
Corsair K70 PRO MINI,129.99,Mini,Cherry MX Speed Silver,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
Corsair K70 MAX RGB US,229.99,Gaming,Corsair MGX Steel Grey,RGB,false,Wired,Black
Keychron C1 Pro V1 Hotswap,79.98,Standard,Keychron K Pro Red,RGB,true,Wired,Black / Gray
Razer BlackWidow V4,169.99,Gaming,Razer Yellow,RGB,false,Wired,Black
Corsair K70 RGB PRO,109.99,Gaming,Cherry MX Speed Silver,RGB,false,Wired,Black
MSI VIGOR GK71 SONIC,79.98,Gaming,MSI Sonic Red,RGB,false,Wired,Black
Logitech G815 Lightsync RGB,194.49,Gaming,GL Clicky,RGB,false,Wired,Black
Ducky One 2 RGB TKL,135,Standard,Cherry MX Red,,true,Wired,Black
Cooler Master CK721,58.19,Gaming,TTC Brown,RGB,true,"Wired, Wireless",Black / Gray
NZXT Function 2,124.12,Gaming,NZXT Swift Optical 40g,RGB,true,"Wired, Wired",White
Logitech G413 Carbon,119.5,Gaming,Romer-G Tactile,Red,false,Wired,Black
Logitech K270,21.33,Standard,,,false,Wireless,Black
Razer BlackWidow Elite,269.99,Gaming,Razer Orange,RGB,false,Wired,Black
Asus ROG Falchion Ace,109.99,Gaming,ROG NX Brown,RGB,true,Wired,White
Logitech PRO X,187.58,Gaming,Logitech GX Brown Tactile,RGB,true,,Black
MSI Vigor GK50 Elite,,Gaming,Kailh Blue,RGB,true,Wired,Black
Rii RK100,,Standard,,Multicolor,false,Wired,
NZXT Function MiniTKL,117.82,Gaming,Gateron Red,RGB,true,Wired,Black
GAMDIAS HERMES E3,34.99,Gaming,Outemu Blue,RGB,true,Wired,White
SteelSeries Apex Pro TKL,,Gaming,SteelSeries QX2 OmniPoint,RGB,true,Wired,Black
Razer Huntsman V2,109.99,Gaming,Razer Red Optical Linear,RGB,true,Wired,Pink
Cooler Master SK620,29.99,Gaming,TTC Brown,RGB,true,Wired,Silver / White
Logitech MX Mechanical Mini,124.99,Slim,Kailh Choc V2 Brown,White,true,Wireless,
Asus ROG Strix Scope,169.99,Gaming,ROG RX Red Optical,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
Asus TUF Gaming K1,59.95,Gaming,,RGB,false,Wired,Black
Logitech diNovo Edge,,Mini,,,false,Bluetooth Wireless,Black / White
Redragon S113,,Gaming,Outemu Brown,RGB,true,Wired,Black
Asus TUF Gaming K7,96.67,Gaming,Optical-mech Tactile,RGB,false,Wired,Black
Thermaltake Commander Bundle,49.99,Gaming,,Blue,false,Wired,Black / Silver
Logitech G13,,Gaming,,RGB,true,Wired,Black
Logitech MK550,59.99,Ergonomic,,,false,Wireless,Black
Razer Cynosa Chroma,109.99,Gaming,,RGB,false,Wired,Black
Cooler Master SK622,39.99,Gaming,TTC Brown Low Profile,RGB,true,"Wired, Bluetooth Wireless",Black
Keychron C1 Pro V1,59.99,Standard,Keychron K Pro Brown,White,true,Wired,Black / Gray
MSI VIGOR GK20,33.98,Gaming,,RGB,false,Wired,Black
DROP MDX-31827-12,,Gaming,Cherry MX Blue,RGB,true,"Wired, Wired",Black
Corsair K70 RGB PRO,164.99,Gaming,Cherry MX Blue,RGB,false,Wired,Black
Keychron K4 V2,99.99,Standard,Gateron G Pro Brown,RGB,false,"Wired, Bluetooth Wireless",Black / Gray
Tecware Phantom 104,50,Gaming,Outemu Blue,RGB,false,Wired,Black
Logitech CRAFT,169.99,Standard,,,false,Wireless,Black
Ducky ONE 3,,Gaming,Cherry MX Silent Red RGB,RGB,false,Wired,White
Razer BlackWidow V3 Pro,,Gaming,Razer Yellow,RGB,false,Wireless,Black
Asus ROG Falchion,126.99,Gaming,ROG NX Red,RGB,true,"Wired, Wireless",Black
Redragon K580 VATA,,Gaming,Outemu Blue,RGB,false,Wired,Black
EagleTec KG010-N,36.99,Standard,Outemu Blue,,false,Wired,Black
Cooler Master SK622,42.34,Gaming,TTC Red Low Profile,RGB,true,"Wired, Bluetooth Wireless",White / Silver
ADATA XPG INFAREX K10,29.99,Gaming,,RGB,false,Wired,Black
NZXT Function 2,133.38,Gaming,NZXT Swift Optical 40g,RGB,false,"Wired, Wired",Black
Razer BlackWidow X Chroma Mercury Edition,,Gaming,Razer Green,RGB,false,Wired,Silver / White
Razer Tartarus Pro,129.99,Ergonomic,Razer Red Optical Linear,RGB,true,Wired,Black
Razer BlackWidow V4 Pro,225.07,Gaming,Razer Yellow,RGB,false,Wired,Black
Logitech MK295 Silent,29.99,Standard,,,false,"Wired, Wireless",Black
Razer BlackWidow 2019,107.88,Gaming,Razer Green,RGB,false,Wired,Black
Asus M601 ROG FALCHION/RD/US,,Gaming,Cherry MX Red,RGB,true,Wireless,Black
Logitech K120,19.48,Standard,,,false,Wired,Black
Logitech MK295 Silent,29.99,Standard,,,false,"Wired, Wireless",White
Glorious GMMK,79.98,Gaming,Gateron Brown,RGB,true,Wired,Black
Razer Huntsman V3 Pro,,Gaming,Razer Analog Optical Switch Gen-2,RGB,false,Wired,Black
Corsair K68,,Gaming,Cherry MX Red,Red,false,Wired,Black
MSI VIGOR GK50 ELITE LL,59,Gaming,Kailh Blue,RGB,false,Wired,Silver / Black
Razer BlackWidow V4,136.93,Gaming,Razer Green,RGB,false,Wired,Black
Asus ROG Strix Scope,99.99,Gaming,ROG RX Red Optical,RGB,false,Wired,
Logitech MX KEYS S,104.37,Standard,,,false,"Wired, Wireless, Bluetooth Wireless",Black
Logitech K740,408.46,Slim,,White,false,Wired,Black
Asus TUF Gaming K3,80.99,Gaming,Kailh Red,RGB,false,Wired,Black
Logitech G413 SE,,Gaming,Kailh LT Brown,White,true,Wired,Black
Logitech MK470,39.99,Slim,,,false,"Wired, Wireless",Black / Gray
Kinesis Gaming Freestyle Edge,199,Ergonomic Split,Cherry MX Brown,RGB,true,Wired,Black
Akko 5087S Shine-Through,,Standard,Akko CS Jelly Pink Linear,RGB,true,Wired,White
Logitech K845,59.99,Standard,TTC Brown,White,false,Wired,Black
Logitech K350,39.99,Ergonomic,,,false,Wireless,Black
Logitech MX Keys,109.99,Slim,,,false,"Wired, Wired, Wireless, Bluetooth Wireless",Black
ADATA XPG SUMMONER,39.99,Gaming,Cherry MX Speed Silver,RGB,false,,Black
Corsair K60 RGB Pro,99.89,Gaming,Cherry MX Low Profile Speed Silver,RGB,false,Wired,Black
Keychron C1 Pro V1,69.98,Standard,Keychron K Pro Red,RGB,true,Wired,Black / Gray
Asus ROG Strix Scope II 96,139.99,Gaming,ROG NX Storm,RGB,false,"Wired, Wireless, Bluetooth Wireless",Black
Corsair K63 Lapboard Combo (MX Red w/Blue LED),380,Gaming,Cherry MX Red,Blue,true,Wireless,
Corsair K70 RGB MK.2,,Gaming,Cherry MX Speed Silver,RGB,false,Wired,Black
Glorious GMMK,,Gaming,Gateron Brown,RGB,false,Wired,Black
SteelSeries Apex 7,123.62,Gaming,SteelSeries QX2 Blue,RGB,false,Wired,Black
Keychron Q1 Pro,,Standard,Keychron K Pro Red,RGB,true,"Wired, Wireless, Bluetooth Wireless",White
Razer Ornata V2,,Gaming,,RGB,false,Wired,Black
Corsair K95 RGB PLATINUM XT,199.99,Gaming,Cherry MX Brown,RGB,false,Wired,Black
HP HyperX Alloy Origins,102.99,Gaming,HyperX Aqua,RGB,false,Wired,Black
Logitech G815 Lightsync RGB,179.99,Gaming,GL Linear,RGB,false,Wired,Black
Logitech K750,54.99,Slim,,,false,Wireless,Black
Lenovo 300,11.99,Slim,,,false,Wired,Black
Keychron K4 V2,99.99,Standard,Gateron G Pro Blue,RGB,false,"Wired, Bluetooth Wireless",Black / Gray
SteelSeries Apex 3 (2020),49.99,Gaming,,RGB,false,Wired,Black
Corsair K70 RGB MK.2 SE,,Gaming,Cherry MX Speed Silver,RGB,false,Wired,White / Silver
Ducky ONE 3,,Gaming,Cherry MX Brown RGB,RGB,false,Wired,Gray / White
Corsair K65 RGB MINI Pastel Twilight,59.99,Gaming,Cherry MX Speed Silver,RGB,true,Wired,Purple / Pink
Razer DeathStalker V2 Pro,249.99,Gaming,Razer Purple Low-Profile Optical Clicky,RGB,false,Wireless,Black
Asus ROG Falchion Ace,109.99,Gaming,ROG NX Red,RGB,true,Wired,Black
Razer TARTARUS V2,79.98,Ergonomic,,RGB,true,Wired,Black
Razer Pro Type Ultra - US,,Standard,Razer Yellow,White,false,"Wired, Wireless, Bluetooth Wireless",White / Gray
ROCCAT Magma,34.99,Gaming,,RGB,false,Wired,Black
Logitech MX KEYS S,194.75,Slim,,White,false,"Wired, Wired, Wireless, Bluetooth Wireless",Gray
Adesso EasyTouch 625,47.68,Gaming,Kailh Blue,,true,Wired,Black
Logitech G915 TKL,179.99,Gaming,GL Clicky,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
Cooler Master Devastator 3,108,Gaming,,Multicolor,false,Wired,Black
Logitech G513 Carbon,133.99,Gaming,GX Brown,RGB,false,Wired,Black
Cooler Master MS110,115,Gaming,,RGB,false,Wired,Black
Logitech ERGO K860,129.99,Ergonomic,,,false,Bluetooth Wireless,Black
Logitech MK345,39.99,Standard,,,false,Wireless,Black / Blue
Corsair K63,,Gaming,Cherry MX Red,Red,true,Wired,Black
Cooler Master CK552,,Gaming,Gateron Red,RGB,false,Wired,Black
DROP MDX-22176-16,,Gaming,Kailh Halo Clear,RGB,true,"Wired, Wired",Gray
Keychron V1 Max,,Mini,Gateron Jupiter Red,,true,"Wired, Wired, Wireless, Bluetooth Wireless",Black / Blue
AOC GK500,46.99,Gaming,Outemu Red,RGB,false,Wired,Black
ROCCAT Vulcan 122 AIMO,126,Gaming,Roccat Titan Brown,RGB,false,Wired,Silver
Logitech K270,25.98,Gaming,,,false,Wireless,Black
Apple Magic,109.99,Slim,,,false,Bluetooth Wireless,White
ROCCAT Vulcan TKL Pro,174.21,Gaming,Roccat Titan Optical,RGB,true,Wired,Black
Asus ROG Strix Flare II Animate,149.99,Gaming,ROG NX Brown,RGB,false,Wired,Black
Cooler Master CK721,59.99,Gaming,TTC Blue,RGB,true,"Wired, Wireless, Bluetooth Wireless",Silver / White
Verbatim 98121,24.18,Standard,,,false,Wired,Black
