name,price,screen_size,resolution,refresh_rate,response_time,panel_type,aspect_ratio
MSI MAG 271QPX QD-OLED E2,649.99,26.5,"2560,1440",240,0.03,QD-OLED,16:9
Asus ROG Strix OLED XG27UCDMG,979,26.5,"3840,2160",240,0.03,QD-OLED,16:9
MSI MPG 321URX QD-OLED,1033.5,31.5,"3840,2160",240,0.03,QD-OLED,16:9
LG 24GN650-B,169.99,24,"1920,1080",144,1,IPS,16:9
Lenovo Legion R27qe,,27,"2560,1440",180,,IPS,16:9
Cooler Master GM2711S,,27,"2560,1440",180,2,IPS,16:9
Sceptre E205W-16003R,99.31,19.5,"1600,900",75,5,,16:9
Samsung Odyssey G3,189.99,24,"1920,1080",144,,VA,16:9
Samsung Odyssey G40B,209.99,25,"1920,1080",240,1,IPS,16:9
AOC 24G4X,,23.8,"1920,1080",180,1,IPS,16:9
MSI MPG 491CQPX QD-OLED,1099,49,"5120,1440",240,0.03,QD-OLED,32:9
KOORUI GP01,169.99,23.8,"2560,1440",165,1,IPS,16:9
MSI PRO MP275Q,144.99,27,"2560,1440",100,4,IPS,16:9
LG 27GS95QE-B,735,27,"2560,1440",240,0.03,OLED,16:9
MSI MAG 274URFW,349.99,27,"3840,2160",160,0.5,IPS,16:9
Gigabyte MO27Q2,599.99,27,"2560,1440",240,0.03,QD-OLED,16:9
MSI G273CQ,159.99,27,"2560,1440",170,,VA,16:9
Samsung Odyssey G30D,,24,"1920,1080",180,,VA,16:9
Samsung Odyssey Neo G8,699.99,32,"3840,2160",240,1,VA,16:9
MSI MAG 321UPX QD-OLED,929.99,31.5,"3840,2160",240,0.03,QD-OLED,16:9
MSI MAG 273QP QD-OLED X24,599.99,26.5,"2560,1440",240,0.03,QD-OLED,16:9
ASRock PG27Q15R2A,156.6,27,"2560,1440",165,,VA,16:9
Samsung Odyssey G95SC,899.99,49,"5120,1440",240,,QD-OLED,32:9
MSI MAG 321UP QD-OLED,770.97,31.5,"3840,2160",165,0.03,QD-OLED,16:9
MSI PRO MP223 E2,64.98,21.4,"1920,1080",100,4,VA,16:9
MSI MPG 272URX QD-OLED,1099,27,"3840,2160",240,0.03,QD-OLED,16:9
MSI G244F E2,109.99,23.8,"1920,1080",180,1,IPS,16:9
MSI MAG 244F,119.99,23.8,"1920,1080",200,0.5,IPS,16:9
MSI MPG 341CQPX QD-OLED,899.99,34,"3440,1440",240,0.03,QD-OLED,21:9
Philips Evnia 34M2C6500,603.89,34,"3440,1440",175,0.03,QD-OLED,21:9
Dell G2725D,199.99,27,"2560,1440",180,1,IPS,16:9
Samsung Odyssey G7,,27,"2560,1440",240,1,VA,16:9
Asus VA24EHF,109,23.8,"1920,1080",100,,IPS,16:9
Asus ROG Strix XG27AQMR,449,27,"2560,1440",300,1,IPS,16:9
Dell Alienware AW2724DM,231.97,27,"2560,1440",165,1,IPS,16:9
Asus ProArt Display PA32DC,3199,31.5,"3840,2160",60,0.1,OLED,16:9
MSI MAG 256F,119.99,24.5,"1920,1080",180,1,IPS,16:9
MSI G2422C,169.99,24,"1920,1080",180,,VA,16:9
Gigabyte AORUS FO27Q2,599.99,27,"2560,1440",240,0.03,QD-OLED,16:9
Samsung Odyssey OLED G8 G81SF,1299.99,27,"3840,2160",240,0.03,QD-OLED,16:9
ASRock Phantom Gaming PG25FFT,104.98,24.5,"1920,1080",180,,IPS,16:9
Asus ROG Swift OLED PG34WCDM,,33.9,"3440,1440",240,0.03,OLED,21:9
Asus TUF GAMING VG259QM,229,24.5,"1920,1080",280,1,IPS,16:9
Dell Alienware AW2725DM,224.99,27,"2560,1440",180,1,IPS,16:9
ASRock PG27FFT1B,108.76,27,"1920,1080",180,,IPS,16:9
Acer VG272U W2,229.99,27,"2560,1440",240,1,IPS,16:9
Gigabyte MO34WQC2,679.99,34,"3440,1440",240,0.03,QD-OLED,21:9
MSI MPG 321CURX QD-OLED,1047.99,31.5,"3840,2160",240,0.03,QD-OLED,16:9
ASRock PG27FFT1A,112.77,27,"1920,1080",180,,IPS,16:9
Asus TUF Gaming VG279QM1A,229,27,"1920,1080",280,1,IPS,16:9
KTC H27T22S,,27,"2560,1440",180,1,IPS,16:9
LG UltraGear 32GR93U-B,588,32,"3840,2160",144,1,IPS,16:9
Pixio PX278 Wave,239.99,27,"2560,1440",180,1,IPS,16:9
Samsung Odyssey G9 Neo S49AG952N,2199.98,49,"5120,1440",240,1,VA,32:9
AOC 24G2,,23.8,"1920,1080",144,,IPS,16:9
Sceptre C305B-200UN,167.97,30,"2560,1080",200,5,VA,21:9
Pixio PXC248 Wave,149.99,24,"1920,1080",200,1,VA,16:9
Gigabyte AORUS FO32U2P,1199.99,31.5,"3840,2160",240,0.03,QD-OLED,16:9
MSI Pro MP243XW,154.94,23.8,"1920,1080",100,4,IPS,16:9
Pixio PX246 Wave,95.99,24,"1920,1080",120,4,IPS,16:9
Asus VG248QE,,24,"1920,1080",144,1,TN,16:9
LG 27GP850-B,407.7,27,"2560,1440",165,1,IPS,16:9
Acer Predator X39,799.99,39,"3440,1440",240,0.01,OLED,21:9
MSI MAG 274UPF E2,349.99,27,"3840,2160",160,0.5,IPS,16:9
ViewSonic OMNI VX2728J-2K,199.99,27,"2560,1440",180,,IPS,16:9
ASRock Phantom Gaming OLED PGO27QFS,499.99,27,"2560,1440",240,0.03,WOLED,16:9
Acer KG241Y Sbiip,109.99,23.8,"1920,1080",165,,VA,16:9
Alienware AW2725Q,799.99,26.7,"3840,2160",240,0.03,QD-OLED,16:9
Samsung Odyssey G50D,429.99,32,"2560,1440",180,1,IPS,16:9
LG UltraGear 39GS95QE-B,749.99,39,"3440,1440",240,0.03,OLED,21:9
LG UltraGear 32GS95UV-B,1878.69,31.5,"3840,2160",240,0.03,OLED,16:9
Philips Evnia 8000 27M2N8500,,26.5,"2560,1440",360,0.03,QD-OLED,16:9
MSI MAG401QR,379,40,"3440,1440",155,,IPS,21:9
Dell Alienware AW2524HF,499.99,24.5,"1920,1080",500,0.5,IPS,16:9
AOC 24G4,,23.8,"1920,1080",180,1,IPS,16:9
MSI MPG 272QR QD-OLED X50,,26.5,"2560,1440",500,0.03,QD-OLED,16:9
LG UltraGear 24GN60R-B,172,23.8,"1920,1080",144,1,IPS,16:9
LG 45GR95QE-B,2267.31,44.5,"3440,1440",240,0.03,OLED,21:9
KOORUI 27E1QA,,27,"2560,1440",144,,VA,16:9
Xiaomi Mi,,34,"3440,1440",144,4,VA,21:9
Samsung Odyssey G5,,27,"2560,1440",144,,VA,16:9
Asus TUF Gaming VG32WQ3B,289,31.5,"2560,1440",180,1,VA,16:9
Gigabyte AORUS FO27Q3,749.99,27,"2560,1440",360,0.03,QD-OLED,16:9
Sceptre E275B-QPT168,150.96,27,"2560,1440",165,,IPS,16:9
MSI MPG 321URXW QD-OLED,1099.99,31.5,"3840,2160",240,0.03,QD-OLED,16:9
LG UltraGear 27GR93U-B,491.49,27,"3840,2160",144,1,IPS,16:9
BenQ ZOWIE XL2566X+,649.99,24.1,"1920,1080",400,,TN,16:9
AOC 27G4XE,363,27,"1980,1080",180,0.5,IPS,11:6
Gigabyte GS27QC,159.99,27,"2560,1440",170,,VA,16:9
Asus ROG Swift 360Hz PG27AQN,640.19,27,"2560,1440",360,1,IPS,16:9
Dell G2724D,,27,"2560,1440",165,1,IPS,16:9
Samsung Odyssey Ark 2nd Gen.,1699.99,55,"3840,2160",165,1,Mini LED VA,16:9
Samsung T350,99.99,22,"1920,1080",75,5,IPS,16:9
MSI MAG 345CQR,309.99,34,"3440,1440",180,,VA,21:9
Dell S3222DGM,312,31.5,"2560,1440",165,2,VA,16:9
Asus ROG Swift OLED PG39WCDM,1029.99,39,"3440,1440",240,0.03,WOLED,21:9
Asus TUF Gaming,329,27,"2560,1440",260,1,IPS,16:9
Samsung Odyssey G8,999,34,"3440,1440",175,0.03,QD-OLED,21:9
Samsung Odyssey G7,299,28,"3840,2160",144,1,IPS,16:9
KOORUI 27E3QK,,27,"2560,1440",240,1,IPS,16:9
Dell Alienware AW2724HF,329.99,27,"1920,1080",360,0.5,IPS,16:9
KOORUI 34E6UC,265.99,34,"3440,1440",165,,VA,21:9
Titan Army P27GR,,27,"2560,1440",180,1,IPS,16:9
AOC C32G2ZE/BK,,31.5,"1920,1080",240,,VA,16:9
AOC Q24G2A/BK,,23.8,"2560,1440",165,,IPS,16:9
Asus TUF Gaming VG249Q1R,139,23.8,"1920,1080",165,,IPS,16:9
Asus ROG Strix XG259QNS,279.99,24.5,"1920,1080",380,0.3,IPS,16:9
Asus ProArt Display PA32UCXR,2699,32,"3840,2160",60,5,IPS,16:9
Asus ROG Strix XG27UCG,466.99,27,"3840,2160",160,1,IPS,16:9
Asus ProArt Display PA278QV,249,27,"2560,1440",75,5,IPS,16:9
Asus TUF Gaming VG27WQ1B,360.12,27,"2560,1440",165,,VA,16:9
Asus TUF Gaming VG27AQL3A,269,27,"2560,1440",180,1,IPS,16:9
MSI Pro,109.99,27,"1920,1080",100,4,IPS,16:9
Asus TUF Gaming VG249QM1A,,23.8,"1920,1080",270,1,IPS,16:9
MSI G274QPX,359.99,27,"2560,1440",240,1,IPS,16:9
MSI Optix MAG342CQR,395.12,34,"3440,1440",144,,VA,21:9
KTC H24T09P,119.99,23.8,"1920,1080",165,1,IPS,16:9
AOC Agon AG493UCX,1540.5,49,"5120,1440",120,,VA,32:9
MSI MAG 271QPX QD-OLED,733.55,26.5,"2560,1440",360,0.03,QD-OLED,16:9
Gigabyte G24F 2,249.95,23.8,"1920,1080",180,,IPS,16:9
Dell Alienware AW2725QF,471.99,27,"3840,2160",180,0.5,IPS,16:9
ASRock Phantom Gaming PG27FFX1B,279.99,27,"1920,1080",520,1,IPS,16:9
Samsung LU32J590UQNXZA,199.99,32,"3840,2160",60,4,VA,16:9
LG 32GP83B-B,449,32,"2560,1440",165,1,IPS,16:9
Asus TUF Gaming VG34VQL1B,357.38,34,"3440,1440",165,,,21:9
MSI MAG 341CQP QD-OLED,699.99,34,"3440,1440",175,0.03,QD-OLED,21:9
HP OMEN 27QS,349.99,27,"2560,1440",240,1,IPS,16:9
Asus ProArt Display PA32UCG-K,2701.51,32,"3840,2160",120,5,IPS,16:9
Dell S2719DGF,,27,"2560,1440",155,1,TN,16:9
AOC 24G15N,,23.8,"1920,1080",180,,VA,16:9
Asus VA27EHF,139,27,"1920,1080",100,,IPS,16:9
Gigabyte GS32Q,199.99,31.5,"2560,1440",170,,IPS,16:9
Asus ProArt Display PA32UCG-K,2701.51,32,"3840,2160",120,5,IPS,16:9
Dell S2725QC,349.99,27,"3840,2160",120,4,IPS,16:9
Asus TUF Gaming VG279Q3A,149.99,27,"1920,1080",180,1,IPS,16:9
ASRock Phantom Gaming PG27QRT1B,149.98,27,"2560,1440",180,,VA,16:9
BenQ GW2490,114.99,23.8,"1920,1080",100,5,IPS,16:9
MSI MPG 274URF QD,375,27,"3840,2160",160,0.5,IPS,16:9
Samsung Odyssey G95SD,,49,"5120,1440",240,0.03,OLED,32:9
Acer Predator X32 X,1149.99,31.5,"3840,2160",240,0.03,OLED,16:9
MSI MAG 274QRF QD E2,249.99,27,"2560,1440",180,1,IPS,16:9
Asus ROG Strix XG27UCS,469,27,"3840,2160",160,1,IPS,16:9
MSI MAG 274CXF,179.99,27,"1920,1080",280,0.5,VA,16:9
Dell AW2723DF,419.99,27,"2560,1440",240,1,IPS,16:9
Asus ROG Swift OLED PG49WCD,1189.99,49,"5120,1440",144,0.03,QD-OLED,32:9
AOC CQ27G4X,234.99,27,"2560,1440",180,1,VA,16:9
Samsung Odyssey G65B,495.75,32,"2560,1440",240,1,VA,16:9
Samsung Odyssey G51C,,27,"2560,1440",165,,VA,16:9
Pixio PX248 Prime,109.99,24,"1920,1080",144,,IPS,16:9
BenQ ZOWIE XL2411P,,24,"1920,1080",144,1,TN,16:9
MSI PRO MP225V,64.98,21.4,"1920,1080",100,4,VA,16:9
Samsung Odyssey G65B,449.99,27,"2560,1440",240,1,VA,16:9
Acer SB220Q bi,92,21.5,"1920,1080",75,4,IPS,16:9
Corsair XENEON FLEX 45WQHD240,1099.99,45,"3440,1440",240,0.03,OLED,21:9
KTC H27S17,189.99,27,"2560,1440",165,3,VA,16:9
MSI PRO MP251 E2,109.99,24.5,"1920,1080",120,4,IPS,16:9
Samsung Odyssey G8,905,34,"3440,1440",175,0.03,OLED,21:9
Samsung Odyssey G9 G95C,799.99,49,"5120,1440",240,1,VA,32:9
AOC Q27G40XMN,269.99,27,"2560,1440",180,1,QD-VA,16:9
KTC H27T22,,27,"2560,1440",165,1,IPS,16:9
AOC C32G2,179.99,32,"1920,1080",165,,,16:9
Pixio PX278 Wave,239.99,27,"2560,1440",180,1,IPS,16:9
ASRock Phantom Gaming PG27FFX2A,299.99,27,"1920,1080",520,1,IPS,16:9
MSI PRO MP251W E2,94.99,24.5,"1920,1080",120,4,IPS,16:9
Asus ROG Strix XG27ACG,289,27,"2560,1440",180,1,IPS,16:9
LG UltraGear 34GP63A-B,349.99,34,"3440,1440",160,5,VA,21:9
Samsung Odyssey G5 C34G55T,279.99,34,"3440,1440",165,,VA,21:9
Samsung Odyssey Neo G75NB,684.68,32,"3840,2160",165,1,Mini LED VA,16:9
Asus TUF GAMING VG249Q,246,23.8,"1920,1080",144,,IPS,16:9
Pixio PX277 OLED MAX,649.99,27,"2560,1440",240,0.03,OLED,16:9
LG UltraGear GS95QE,1602.55,45,"3440,1440",240,0.03,OLED,21:9
Gigabyte AORUS FO32U2,949.99,31.5,"3840,2160",240,0.03,QD-OLED,16:9
MSI MAG 27CQ6PF,209.99,27,"2560,1440",180,0.5,VA,16:9
Samsung Odyssey G9,,49,"5120,1440",240,1,VA,32:9
Sceptre C248W-1920RN,87.97,23.6,"1920,1080",75,5,VA,16:9
Gigabyte AORUS CO49DQ,891.99,49,"5120,1440",144,0.03,OLED,32:9
LG Ultragear 32GS85Q,,31.5,"2560,1440",180,1,IPS,16:9
MSI MPG 491CQP QD-OLED,849.99,49,"5120,1440",144,0.03,QD-OLED,32:9
Asus TUF Gaming VG27UQ1A,379,27,"3840,2160",160,1,IPS,16:9
HP OMEN 24,129.99,23.8,"1920,1080",165,1,IPS,16:9
HP OMEN 27q,209.99,27,"2560,1440",165,1,IPS,16:9
Asus ROG Swift PG32UQX,1795,32,"3840,2160",144,4,IPS,16:9
Dell S2721DGF,,27,"2560,1440",165,1,IPS,16:9
Gigabyte GS27FA,,27,"1920,1080",190,,IPS,16:9
Asus TUF Gaming VG28UQL1A,449,28,"3840,2160",144,1,IPS,16:9
MSI PRO MP225,74.98,21.5,"1920,1080",100,4,IPS,16:9
Asus TUF Gaming VG27VQM,249,27,"1920,1080",240,,VA,16:9
KTC H24F8,94.99,23.8,"1920,1080",180,,IPS,16:9
Samsung ViewFinity S50GC,321.52,34,"3440,1440",100,5,VA,21:9
ViewSonic VA2247-MH,79.98,22,"1920,1080",75,5,VA,16:9
BenQ Zowie XL2546K,,24.5,"1920,1080",240,,TN,16:9
AOC AGON Pro AG326UD,699.99,31.5,"3840,2160",165,0.03,QD-OLED,16:9
MSI Modern MD342CQPW,339.99,34,"3440,1440",120,4,VA,21:9
BenQ Zowie XL2566K,922,24.5,"1920,1080",360,,TN,16:9
LG 27GL850-B,300.99,27,"2560,1440",144,1,IPS,16:9
ViewSonic XG2431,279.99,23.8,"1920,1080",240,,IPS,16:9
Dell U2723QE,475.99,27,"3840,2160",60,5,IPS,16:9
MSI G2712F,164.99,27,"1920,1080",180,1,IPS,16:9
BenQ Mobiuz EX3410R,499.99,34,"3440,1440",144,1,VA,21:9
Dell G2524H,249.99,24.5,"1920,1080",280,0.5,IPS,16:9
Dell Alienware AW3423DW,749.95,34.2,"3440,1440",175,0.1,QD-OLED,21:9
Gigabyte G27Q,,27,"2560,1440",144,,IPS,16:9
Asus ROG Swift OLED PG32UCDMR,1315.38,31.5,"3840,2160",240,0.03,QD-OLED,16:9
BenQ ZOWIE XL2586X,899.99,24.1,"1920,1080",540,,TN,16:9
MSI Pro,166.37,27,"1920,1080",100,4,IPS,16:9
Asus ROG Strix XG32WCS,249,31.5,"2560,1440",180,1,VA,16:9
MSI G272QPF,213.79,27,"2560,1440",170,1,IPS,16:9
MSI MAG 275F,149.99,27,"1920,1080",180,0.5,IPS,16:9
LG 27GN800-B,269,27,"2560,1440",144,1,IPS,16:9
Corsair XENEON 27QHD240,1082.63,27,"2560,1440",240,0.03,OLED,16:9
YEYIAN Odraz,169.99,27,"3840,2160",60,5,IPS,16:9
Sceptre C325B-185RD,179.97,31.5,"1920,1080",185,3,VA,16:9
AOC C24G1,298.98,24,"1920,1080",144,1,VA,16:9
Acer V227Q A,318.14,21.5,"1920,1080",75,4,VA,16:9
Gigabyte G34WQC A,,34,"3440,1440",144,,VA,21:9
BenQ GW2283,109.99,21.5,"1920,1080",60,5,IPS,16:9
Dell S2725QS,279,27,"3840,2160",120,4,IPS,16:9
Gigabyte M27UA,449.99,27,"3840,2160",160,5,IPS,16:9
LG 27GR95QE-B,769,26.5,"2560,1440",240,0.03,OLED,16:9
Asus ROG Strix XG349C,647.49,34.1,"3440,1440",180,1,IPS,21:9
Gigabyte M32U,729.99,31.5,"3840,2160",144,,IPS,16:9
ViewSonic XG272-2K-OLED,899.99,27,"2560,1440",240,0.02,OLED,16:9
MSI G32C4X,219.9,31.5,"1920,1080",250,,VA,16:9
Samsung T350,99.99,24,"1920,1080",75,5,IPS,16:9
MSI Optix G24C4,,23.6,"1920,1080",144,1,VA,16:9
Asus ROG Swift PG279QM,539,27,"2560,1440",240,1,IPS,16:9
Samsung LF27T350FHNXZA,187.99,27,"1920,1080",75,5,IPS,16:9
Dell S2721HGF,316.24,27,"1920,1080",144,,VA,16:9
Dell Alienware AW2521HF,595,24.5,"1920,1080",240,1,IPS,16:9
Pixio PX248 Wave,159.99,23.8,"1920,1080",200,1,IPS,16:9
Samsung LC27G55TQWNXZA,225,27,"2560,1440",144,,VA,16:9
AOC 24G2SPAE/BK,,23.8,"1920,1080",165,,IPS,16:9
LG UltraGear OLED 39GS95QE-W,,39,"3440,1440",240,0.03,OLED,21:9
Acer Nitro XV272U Vbmiiprx,268.49,27,"2560,1440",170,,IPS,16:9
MSI PRO MP243X,124.95,23.8,"1920,1080",100,4,IPS,16:9
Lenovo Legion R27q-30,254.99,27,"2560,1440",180,,IPS,16:9
Samsung Odyssey G5,,32,"2560,1440",144,,VA,16:9
ViewSonic VA1903H,61.95,18.5,"1366,768",60,5,TN,16:9
MSI G274QPF-QD,219.99,27,"2560,1440",170,1,IPS,16:9
Asus ProArt Display PA278CGV,359,27,"2560,1440",144,5,IPS,16:9
MSI G274F,167.5,27,"1920,1080",180,1,IPS,16:9
ViewSonic VX3218C-2K,239.99,32,"2560,1440",165,,VA,16:9
Dell E2020H,84.99,19.5,"1600,900",60,5,TN,16:9
Pixio PX278 Wave,,27,"2560,1440",180,1,IPS,16:9
AOC CQ27G3Z,289.99,27,"2560,1440",240,4,VA,16:9
Samsung Odyssey G7 LC32G75TQSNXZA,499.97,31.5,"2560,1440",240,1,VA,16:9
Dell S2725DS,199.99,27,"2560,1440",100,4,IPS,16:9
BenQ MOBIUZ EX2710Q,269.99,27,"2560,1440",165,2,IPS,16:9
AOC 24B2XH,,23.8,"1920,1080",75,8,IPS,16:9
MSI G27C3F,129.99,27,"1920,1080",180,1,VA,16:9
Asus VG279Q1A,223.51,27,"1920,1080",165,,IPS,16:9
Sceptre E248W-19203R,89.96,23.8,"1920,1080",75,14,TN,16:9
MSI PRO MP245V,,23.8,"1920,1080",100,4,VA,16:9
KTC H32T13,209.99,32,"2560,1440",120,3,IPS,16:9
MSI G2412F,464,24,"1920,1080",180,1,IPS,16:9
BenQ MOBIUZ EX240N,139.99,23.8,"1920,1080",165,4,VA,16:9
Dell Alienware AW3425DWM,,34,"3440,1440",180,1,VA,21:9
Asus ROG Strix XG27WCS,278,27,"2560,1440",180,1,VA,16:9
Sceptre C248B-FWT168,109.97,23.6,"1920,1080",165,,VA,16:9
Asus ProArt Display PA248QV,169,24.1,"1920,1200",75,5,IPS,16:10
MSI Optix G32C4,320,31.5,"1920,1080",165,1,VA,16:9
Dell S3422DWG,,34,"3440,1440",144,2,VA,21:9
ASRock Phantom Gaming OLED PGO32UFS,848.99,31.5,"3840,2160",240,0.03,WOLED,16:9
MSI MAG 274CQF,189.99,27,"2560,1440",180,0.5,VA,16:9
Dell Alienware AW3225DM,319.99,31.5,"2560,1440",180,1,VA,16:9
Philips 241V8LB,89.99,23.8,"1920,1080",100,4,VA,16:9
ViewSonic VX2718-2KPC-MHD,199.99,27,"2560,1440",165,5,VA,16:9
MSI MAG 275CQRF-QD,182,27,"2560,1440",170,1,VA,16:9
Asus VZ22EHE,79,21.4,"1920,1080",75,,IPS,16:9
