name,price,type,frequency_response,microphone,wireless,enclosure_type,color
NZXT Relay,89,Circumaural,"20,40",true,false,Closed,White / Black
Logitech G PRO,119.98,Circumaural,"20,20",true,false,Closed,Black
SteelSeries Arctis Nova 3,90.99,Circumaural,"20,22",true,false,Closed,Black
SteelSeries ARCTIS 7 2019 Edition,204.99,Circumaural,"20,20",true,true,Closed,Black
Logitech ASTRO A10,59.99,Circumaural,"20,20",true,false,Closed,Black
Sennheiser MOMENTUM 4,279.99,Circumaural,"6,22",true,true,Closed,Black
Razer Kraken X,71.5,Circumaural,"12,28",true,false,Closed,Black
Turtle Beach Stealth 700 Gen 2 MAX,118.97,Circumaural,"20,22",true,true,Closed,Black / Silver
Razer BlackShark V2 HyperSpeed,94.99,Circumaural,"12,28",true,false,Closed,Black
Logitech G935,129.99,Circumaural,"20,20",true,true,Closed,Black / Blue
Astro Gaming A40 TR + MixAmp Pro TR,349,Circumaural,"20,20",true,false,Closed,Black / Gold
Asus TUF Gaming H1 Wireless,89.99,Circumaural,"20,20",true,true,Closed,
HP HyperX Cloud Stinger 2,36.99,Circumaural,"10,28",true,false,Closed,Black
Bang & Olufsen Beoplay H100,2200,Circumaural,"10,40",true,true,Closed,Beige / Gold
Sennheiser HD 490 PRO,377.02,Circumaural,,false,false,Open,Black
DROP Drop + Sennheiser PC38X,,Circumaural,"10,30",true,false,Open,Black
Turtle Beach Recon 50,25.27,Circumaural,,true,false,Closed,Black / Red
Razer BlackShark V2,109.95,Circumaural,"12,28",true,false,Closed,Black / Green
"SteelSeries Arctis Nova Pro Wireless for PC, PS5, and PS4",291.5,Circumaural,"10,40",true,true,Closed,White / Silver
Bose QuietComfort 35 Series II,399.95,Circumaural,,true,true,Closed,Black
Razer Kraken BT - Kitty Edition,79.98,Circumaural,"20,20",true,true,Closed,Pink / White
Logitech ASTRO A50 (GEN 5),299.99,Circumaural,"20,20",true,true,Closed,White / Red
HiFiMAN SUNDARA,,Circumaural,"6,75",false,false,Open,Black
Audio-Technica ATH-M20X,59,Circumaural,"15,20",false,false,Closed,Black / Silver
SteelSeries Arctis Nova Pro,279.99,Circumaural,"10,40",true,false,Closed,Black
SteelSeries Arctis 5,186.88,Circumaural,"20,22",true,false,Closed,Black
SteelSeries Arctis 7,,Circumaural,"20,20",true,true,Closed,Black
Fractal Design Scape,199.99,Circumaural,"20,20",true,true,Closed,Black
Turtle Beach EAR FORCE Recon 50X,31.98,Circumaural,"20,20",true,false,Closed,Black / Green
HP HyperX Cloud Alpha S,,Circumaural,"13,27",true,false,Closed,Black
JBL Quantum 910,299.95,Circumaural,"20,20",true,true,Closed,Black
Asus ROG Delta,149.99,Circumaural,"20,40",true,false,Closed,Black / Silver
Razer Kraken Kitty,,Circumaural,"20,20",true,false,Closed,Pink
Corsair HS80 RGB,73.99,Circumaural,"20,40",true,false,Closed,Black
HP HyperX Cloud Stinger Core - Wireless,59.99,Circumaural,"10,21",true,true,Closed,Black
Anker Soundcore Life Q30,55.99,Circumaural,"16,40",true,true,Closed,Black
Asus ROG CETRA II,97.99,In Ear,"20,40",true,false,Closed,Black
JBL Quantum One,329.95,Circumaural,"20,20",true,false,Closed,Black
Audio-Technica ATH-R70X,345,Circumaural,"5,40",false,false,Open,Black
Sennheiser MOMENTUM 4,299.95,Circumaural,"6,22",true,true,Closed,White
Logitech G335,69.98,Circumaural,"20,20",true,false,Closed,Black / Blue
Sennheiser HD 599,189.95,Circumaural,"12,38.5",false,false,Open,White / Brown
Audio-Technica ATH-M50xWH,179,Circumaural,"15,28",false,false,Closed,White
Logitech G435,85.99,Circumaural,"20,20",true,true,Closed,White / Blue
Logitech G35,489,Circumaural,"20,20",true,false,Closed,Black
Fractal Design Scape,199.99,Circumaural,"20,20",true,true,Closed,White
Corsair VIRTUOSO MAX,303.58,Circumaural,"20,40",true,true,Closed,Silver
Bang & Olufsen Beoplay H100,2200,Circumaural,"10,40",true,true,Closed,Black / Silver
Razer Barracuda X (2021),119.98,Circumaural,"20,20",true,true,Closed,Black
JBL Quantum 100,39.95,Circumaural,"20,20",true,false,Closed,White
Beyerdynamic DT 770 PRO X Limited Edition,,Circumaural,"5,40",false,false,Closed,Black / Gray
Razer Kraken V4,179,Circumaural,"20,28",true,true,Open,Black
Audio-Technica ATH-M40x,109,Circumaural,"15,24",false,false,Closed,Black / Silver
HP HyperX Cloud Core,,Circumaural,"10,21",true,true,Closed,Black / Red
SteelSeries Arctis Nova 7X,138.3,Circumaural,"20,22",true,true,Closed,Black / Green
Audio-Technica ATH-M50xSTS StreamSet USB,249,Circumaural,"15,28",true,false,Closed,Black / Silver
Sony XM5,398,Circumaural,"4,40",true,true,Closed,Silver
SteelSeries Arctis Nova 7,162.94,Circumaural,"20,22",true,true,Closed,White / Black
Sony INZONE H9,259.98,Circumaural,"5,20",true,true,Closed,
Corsair Virtuoso Pro,155,Circumaural,"20,40",true,false,Open,Black
HiFiMAN RE2000 24k Gold Edition,2000,In Ear,"5,20",false,false,Closed,Black / Gold
Creative Labs Zen Hybrid 2,59.99,Circumaural,"20,20",true,true,Closed,Black
Corsair HS55,99.99,Circumaural,"20,20",true,true,Closed,Black
Sennheiser HD 598,498.88,Circumaural,"12,38.5",false,false,Open,Brown
Logitech PRO X 2 LIGHTSPEED,279.99,Circumaural,"20,20",true,true,Closed,Pink
Gear Head AU1200M,8,Supra-aural,,true,false,Closed,Black
MSI Immerse GH30 V2,39.95,Circumaural,"29,20",true,false,Closed,Black
JBL Quantum 100,39.95,Circumaural,"20,20",true,false,Closed,Black
Logitech FITS,99.99,In Ear,"20,20",true,true,Closed,White
SteelSeries Arctis Pro Wireless,,Circumaural,"10,40",true,true,Closed,White
Asus TUF Gaming H1,34.99,Circumaural,"20,20",true,false,Closed,Black
Genius HS-02B,6.43,Supra-aural,"20,20",true,false,Closed,Black / Silver
Turtle Beach Recon 50P,31.98,Circumaural,"20,20",true,false,Closed,Black / Blue
Beyerdynamic DT 990,169.99,Circumaural,"5,35",false,false,Semi-open,Black / Silver
Corsair HS55 STEREO,31.24,Circumaural,"20,20",true,false,Closed,Black
Creative Labs Zen Air,19.98,In Ear,"20,20",true,true,Closed,White
Cooler Master MH670,158.63,Circumaural,"15,25",true,true,Closed,Black
Sony MDR-7506,99.99,Circumaural,"10,20",false,false,Closed,Black
Razer Barracuda X,67.98,Circumaural,"20,20",true,true,Closed,Pink / Gray
Beyerdynamic DT 700 PRO X,269.99,Circumaural,"5,40",false,false,Closed,Black
Turtle Beach Atlas Air,159,Circumaural,"20,40",true,true,Closed,Black
MSI Immerse GH50,74.98,Circumaural,"100,10",true,true,Closed,Black
Corsair HS80 MAX WIRELESS,189.99,Circumaural,"20,40",true,true,Closed,White / Gray
HiFiMAN Arya,599,Circumaural,"8,65",false,false,Open,Black
Razer Kraken V4 X,59.98,Circumaural,"20,20",true,false,Open,Black
SteelSeries Arctis Nova 5x,129.99,Circumaural,"20,22",true,true,Closed,Black / Green
Razer BlackShark V2 HyperSpeed,129.99,Circumaural,"12,28",true,false,Closed,White / Black
Sennheiser HD 599 SE,,Circumaural,"12,38.5",false,false,Open,Black / Silver
Sennheiser GAME ONE,179.99,Circumaural,"15,28",true,false,Open,Black / White
Astro A50 + Base Station,249.99,Circumaural,"20,20",true,true,Closed,Black / Gray
Razer Kraken BT - Hello Kitty and Friends Edition,72.98,Circumaural,"20,20",true,true,Closed,Pink / White
SteelSeries Arctis Nova 1P,50.98,Circumaural,"20,22",true,false,Closed,White
Corsair HS55,99.99,Circumaural,"20,20",true,true,Closed,White
Razer Kraken Ultimate,148,Circumaural,"20,20",true,false,Closed,Black
Logitech H390,24.99,Supra-aural,"20,20",true,false,Closed,Black / Silver
HP HyperX Cloud II,,Circumaural,"15,25",true,false,Closed,Gunmetal
Rosewill SAROS C740S,29.99,Circumaural,"20,20",true,true,Closed,Black / Silver
SteelSeries Arctis Prime,44.66,Circumaural,"10,40",true,false,Closed,Black
Audio-Technica ATH-AD2000X,793.78,Circumaural,"5,45",false,false,Open,Black
"SteelSeries Arctis Nova Pro Wireless for Xbox X|S, and Xbox One",313.3,Circumaural,"10,40",true,true,Closed,White / Silver
Audeze Penrose X,399.99,Circumaural,"10,50",true,true,Closed,Black / Green
Asus TUF Gaming H3,39.99,Circumaural,"20,20",true,false,Closed,Black / Gray
Audeze LCD-GX,899,Circumaural,"10,50",true,false,Open,Black / Red
EPOS H6PRO,106.59,Circumaural,"20,20",true,false,Closed,Black / Blue
SteelSeries Arctis Pro + GameDAC,178.99,Circumaural,"10,40",true,false,Closed,Black
Sony WH-1000XM3,348.7,Circumaural,"4,40",true,true,Closed,Silver
SteelSeries Arctis 7P,194.99,Circumaural,"20,20",true,true,Closed,White / Blue
Sennheiser HD6XX,378,Circumaural,"10,41",false,false,Open,Black
AKG K702,179.95,Circumaural,"10,39.8",false,false,Open,Black / Silver
Sennheiser HD 660 S,,Circumaural,"10,41",false,false,Open,Black
Apple AirPods Max,539,Circumaural,,true,true,Closed,Silver
Asus ROG Theta 7.1,,Circumaural,"20,40",true,false,Closed,Black
Skullcandy Crusher,99,Circumaural,"20,20",false,true,Closed,Black
Audio-Technica ATH-G1WL,249,Circumaural,"5,40",true,true,Closed,Black
Razer Kraken Kitty V2 Pro,125.99,Circumaural,"20,20",true,false,Closed,Pink / Gray
Corsair HS35 v2,49.99,Circumaural,,true,false,Closed,Black
MSI Immerse GH50,74.99,Circumaural,"20,20",true,true,Closed,Black
Koss KSC75,22.35,Supra-aural,,false,false,Closed,Black / Silver
Anker Soundcore Life Q20,54.99,Circumaural,"16,40",true,true,Closed,Silver
Corsair Virtuoso Pro,199.99,Circumaural,"20,40",true,false,Open,White
Astro A40 + MIXAMP Pro,349,Circumaural,"20,20",true,false,Closed,Black
Astro Gaming A10,39.99,Circumaural,"20,20",true,false,Closed,Black / Blue
Audio-Technica ATH-E40,119,In Ear,"20,20",false,false,Closed,Black
Moondrop ARIA,,In Ear,"5,36",false,false,Closed,Black
Sennheiser ‎‎‎HD 450BT Black,79.98,Circumaural,"18,22",true,true,Closed,Black / Gray
Razer Kraken Kitty,279.99,Circumaural,"20,20",true,false,Closed,Black / Green
Corsair HS70 PRO,104.36,Circumaural,"20,20",true,true,Closed,Black
Razer Kraken V3 HyperSense,125.67,Circumaural,"20,20",true,false,Closed,Black
Sennheiser HD 558,179.95,Circumaural,"15,28",false,false,Open,Black / Silver
Corsair Virtuoso RGB SE,159.99,Circumaural,"20,40",true,true,Closed,Black
Astro A50 Xbox 4th Gen + Base Station,,Circumaural,"20,20",true,true,Closed,Black
HiFiMAN HE400SE,109,Circumaural,"20,20",false,false,Open,Black / Silver
Apple AirPods Max (2024),449.99,Circumaural,,true,true,Closed,Black
HiFiMAN HE1000se,1699,Circumaural,"8,65",false,false,Open,Silver / Brown
Apple AirPods Max,537,Circumaural,,true,true,Closed,Black
Philips SHP9600/00,74.98,Circumaural,"12,35",false,false,Open,Black / Copper
Sennheiser MOMENTUM 4,299.95,Circumaural,"6,22",true,true,Closed,Copper / Black
NZXT Relay,39.99,Circumaural,"20,40",true,false,Closed,Black / Purple
SteelSeries Arctis Nova Pro X,179.99,Circumaural,"10,40",true,false,Closed,Black
Creative Labs Zen Hybrid 2,59.99,Circumaural,"20,20",true,true,Closed,White
Gigabyte Aorus H5,114.9,Circumaural,"20,20",true,false,Closed,Black / Orange
Sony ZX110 (Black),17.98,Supra-aural,"12,22",true,false,Closed,Black
HP HyperX Cloud Flight,,Circumaural,"15,23",true,true,Closed,Black / Red
Razer Kraken 7.1 V2,210,Circumaural,"12,28",true,false,Closed,Black / Green
HP HyperX Cloud Alpha S,,Circumaural,"13,27",true,false,Closed,Blue / Black
Audio-Technica ATH-M30x,79,Circumaural,"15,22",false,false,Closed,Black / Silver
Sony WH-1000XM3,356.48,Circumaural,"4,40",true,true,Closed,Black
Razer NARI ULTIMATE,,Circumaural,"20,20",true,true,Closed,Black / Green
Plantronics Rig 800HD,,Circumaural,"20,20",true,true,Open,Black / Gold
Logitech G733,135.41,Circumaural,"20,20",true,true,Closed,Purple
HP HyperX Cloud Stinger,79.98,Circumaural,"18,23",true,false,Closed,Black / Red
Bang & Olufsen Beoplay H100,1906.7,Circumaural,"10,40",true,true,Closed,Copper
SteelSeries ARCTIS 5 (2019),188.99,Circumaural,"20,22",true,false,Closed,Black
Asus ROG Strix Go,199.99,Circumaural,"20,40",true,true,Closed,Black
Superlux HD668B,48.24,Circumaural,"10,30",false,false,Semi-open,Black
Sennheiser HD 569,129.94,Circumaural,"10,28",true,false,Closed,Black
Logitech G933 Artemis Spectrum,298.99,Circumaural,"20,20",true,true,Closed,Black / Blue
Logitech H110,,Supra-aural,"20,20",true,false,Closed,Black / Silver
Final D8000,4773.96,Circumaural,,false,false,Closed,Black / Silver
Asus ROG Strix Go Electro Punk,84.99,Circumaural,"20,40",true,false,Closed,Black / Pink
Logitech G533,,Circumaural,,true,true,Closed,Black
Apple AirPods Pro 2nd Gen MagSafe USB-C,239,In Ear,,true,true,Closed,White
Beyerdynamic DT 880 Pro,209.99,Circumaural,"5,35",false,false,Semi-open,Gray
Panasonic RP-HJE125-K,,Earbud,,false,false,Closed,Black
SteelSeries Arctis Nova 7P,168.61,Circumaural,"20,22",true,true,Closed,Black / Blue
Sennheiser RS 175,249.95,Circumaural,"17,22",false,true,Closed,Black / Silver
Sennheiser HD 280 PRO,89.9,Circumaural,"8,25",false,false,Closed,Black
Asus ROG Strix Go Core,79.98,Circumaural,"20,40",true,false,Closed,Black
SteelSeries 61023,24.99,Circumaural,,true,false,Closed,Black / Orange
Audio-Technica SonicFuel CLR100iS,14.99,In Ear,"20,25",true,false,Closed,Black
MSI IMMERSE GH,76.54,Circumaural,"20,20",true,false,Closed,Black / Red
Asus ROG Delta White Edition,,Circumaural,"20,40",true,false,Closed,White
Microsoft Xbox WH,,Circumaural,"20,20",true,true,Closed,Black / Green
AKG K701,177.95,Circumaural,"10,39.8",false,false,Open,White
Razer NARI ESSENTIAL,168.99,Circumaural,"20,20",true,true,Closed,Black
Philips Fidelio X2HR/00,199.99,Circumaural,"5,40",false,false,Open,Black
Asus ROG Delta S EVA Edition,239.99,Circumaural,"20,40",true,false,Closed,Purple / Green
Razer Kraken Tournament Edition,,Circumaural,"12,28",true,false,Closed,Black
Logitech ASTRO A10,69.99,Circumaural,"20,20",true,false,Closed,Purple
Razer Electra V2 USB,105.21,Circumaural,"20,20",true,false,Closed,Black / Green
Shure SE425-CL,296,In Ear,"20,19",false,false,Closed,Transparent
Zalman HPS200,,Circumaural,"20,20",true,false,Closed,Black
Adesso Xtream H5,17.89,Circumaural,"20,20",true,false,Closed,Black
Bose QuietComfort 35 Series II,399,Circumaural,,true,true,Closed,Silver
Logitech ASTRO A40 TR,129.99,Circumaural,"20,20",true,false,Closed,Black / Red
HP HyperX Cloud Stinger,,Circumaural,"20,20",true,true,Closed,Black
Sennheiser DROP Massdrop x Sennheiser PC37X,,Circumaural,"15,28",true,false,Open,Black
HP HyperX Cloud Stinger Core - Wireless PS5/PS4,69.98,Circumaural,"10,21",true,true,Closed,White / Blue
SteelSeries Arctis Nova Pro Wireless for PS5 and PS4,372.39,Circumaural,"10,40",true,true,Closed,Black
Logitech ASTRO A30 LIGHTSPEED (Xbox/PC),159.51,Circumaural,"20,20",true,true,Closed,White
Logitech ASTRO A30 LIGHTSPEED (Playstation/PC),161.58,Circumaural,"20,20",true,true,Closed,White
SteelSeries Arctis Nova 1P,59.99,Circumaural,"20,22",true,false,Closed,Black
SteelSeries Arctis 3,,Circumaural,"20,22",true,false,Closed,Black
Astro A20 Gen 2,99.99,Circumaural,"20,20",true,true,Closed,Black / Green
SteelSeries Arctis 9,,Circumaural,"20,20",true,true,Closed,Black
DROP Drop + Sennheiser PC38X,,Circumaural,"10,30",true,false,Open,Black / Yellow
Logitech ASTRO A10,69.99,Circumaural,"20,20",true,false,Closed,White / Red
Razer Barracuda,148.79,Circumaural,"20,20",true,true,Closed,Black
Creative Labs Zen Hybrid,83.89,Circumaural,"20,20",true,true,Closed,White
AKG K712 PRO,257.58,Circumaural,"10,39.8",false,false,Open,Black / Orange
HP HyperX Cloud Stinger Core - PS5/PS4,65.51,Circumaural,"20,20",true,false,Closed,Black / Blue
Syba CM-5023,9.99,Supra-aural,"20,20",true,false,Closed,Black / Silver
Beyerdynamic DT 990,169.99,Circumaural,"5,35",false,false,Open,Black / Silver
Razer Kraken V3,99.99,Circumaural,"20,20",true,false,Closed,Black
Sony WH-CH710N,,Circumaural,"20,20",true,true,Closed,Blue
Sony INZONE H5,129.98,Circumaural,"5,20",true,true,Closed,Black
Sennheiser HD 4.40BT,150,Circumaural,"18,22",true,true,Closed,Black
Sennheiser M3AEBTXL,389,Circumaural,"6,22",false,true,Closed,White / Silver
SteelSeries Arctis Nova 7P,149.99,Circumaural,"20,22",true,true,Closed,White / Blue
Logitech G435,138.99,Circumaural,"20,20",true,true,Closed,Blue / Pink
HP HyperX Cloud Stinger Core - Wireless Xbox,79.98,Circumaural,"10,21",true,true,Closed,Gray / Green
Beyerdynamic TYGR 300 R,199.99,Circumaural,"5,35",false,false,Open,Black
Razer Kraken (2019),144.94,Circumaural,"12,28",true,false,Closed,Green / Black
Audio-Technica ATH-S220BT,64,Circumaural,"5,32",true,true,Closed,Black
Corsair HS65 SURROUND,69.98,Circumaural,"20,20",true,false,Closed,White / Gray
Sennheiser GSP 670,179.99,Circumaural,"10,23",true,true,Closed,Black
Logitech H150,15.12,Supra-aural,,true,false,Closed,Black / White
MSI DS502,59.94,Circumaural,"20,20",true,false,Closed,Black / Red
Corsair VOID PRO RGB (Black),,Circumaural,"20,20",true,true,Closed,Black
SteelSeries Arctis 7,,Circumaural,"20,20",true,true,Closed,White / Black
Logitech G332,,Circumaural,"20,20",true,false,Closed,Black / Red
Adesso Xtream G1,27.98,Circumaural,"20,20",true,false,Closed,Black / Blue
Razer Kaira for PlayStation,50.9,Circumaural,"20,20",true,true,Closed,White / Black
EPOS H6PRO,89.97,Circumaural,"20,20",true,false,Open,White / Silver
Meze Audio 99 Neo,199,Circumaural,"15,25",false,false,Closed,Black
Philips SHL3000WT/28,19.95,Circumaural,"20,20",false,false,Closed,Black / White
Audio-Technica ATH-AD900x,184,Circumaural,"5,35",false,false,Open,Black
Logitech G930,191.19,Circumaural,"20,20",true,true,Closed,Black / Red
Superlux HD681,36.99,Circumaural,"10,30",false,false,Semi-open,Black / Red
Logitech ASTRO A10,69.99,Circumaural,"20,20",true,false,Closed,Gray
Philips SHE7000WT/28,5.99,In Ear,"8,23.5",false,false,Closed,Pink / White
JBL Quantum 400,109.95,Circumaural,"20,20",true,false,Closed,Black
Corsair HS55 WIRELESS CORE,,Circumaural,"20,20",true,true,Closed,Black
SteelSeries TUSQ,39.99,In Ear,"20,20",true,false,Closed,
SteelSeries Arctis Nova 5p,149,Circumaural,"20,22",true,true,Closed,Black / Blue
Sennheiser HD 380 Pro,199.95,Circumaural,"8,27",false,false,Closed,Black
Sennheiser HD 490 PRO Plus,479,Circumaural,,false,false,Open,Black
Astro A40 TR,,Circumaural,"20,24",true,false,Open,Black
Bose QC35,,Circumaural,,true,true,Closed,Black
Sennheiser GSP 600,,Circumaural,"10,30",true,false,Closed,Black / Red
Logitech G PRO,,Circumaural,"20,20",true,false,Closed,Black
Logitech G635,,Circumaural,"20,20",true,false,Closed,Black / Blue
DROP Massdrop Plus Universal IEM,,In Ear,"5,18",false,false,Closed,Black
Astro Gaming A10,,Circumaural,"20,20",true,false,Closed,Black / Red
Anker Soundcore Life Q30,55.99,Circumaural,"16,40",true,true,Closed,Pink
MSI MAESTRO 300,39.99,Circumaural,"50,15",true,false,Closed,Black
ADATA XPG Precog,134.26,Supra-aural,"5,50",true,false,Closed,Black / Red
JVC HARX900,33.12,Circumaural,"7,26",false,false,Closed,Black
SteelSeries Arctis Nova 1X,59.99,Circumaural,"20,22",true,false,Closed,Black
Logitech G335,68.7,Circumaural,"20,20",true,false,Closed,White / Blue
Creative Labs Zen Hybrid Pro,94.99,Circumaural,"20,20",true,true,Closed,Black
Sony WH1000XM4,278,Circumaural,"20,20",true,true,Closed,Silver
Logitech ASTRO A50 + Base Station,249.99,Circumaural,"20,20",true,true,Closed,Black / Gold
Denon AH-D9200EM,1799,Circumaural,"5,56",false,false,Closed,Brown / Black
Audio-Technica ATH-M50xBT,,Circumaural,"15,28",true,true,Closed,Black / Silver
Corsair VOID PRO RGB (White/Black),,Circumaural,"20,20",true,true,Closed,White / Black
Asus ROG CENTURION,,Circumaural,,true,false,Closed,Black
HP HyperX Cloud Revolver S,,Circumaural,"12,28",true,false,Closed,Silver
MSI Immerse GH50,49.99,Circumaural,"20,20",true,false,Closed,Black
JBL Quantum 600,149.95,Circumaural,"20,20",true,true,Closed,Black
Sony INZONE H3,84.98,Circumaural,"10,20",true,false,Closed,White / Black
Neumann NDH 30,,Circumaural,"12,34",false,false,Open,Silver / Black
